signal_ts,entry_ts,exit_ts,side,tag,entry_px,stop_px,target_px,exit_px,risk_px,qty,pnl,r,reason,hold_min,mfe_r,entry_dt,exit_dt,fold
1668049200000,1668050100000,1668090600000,1,pullback_ema20,1709.3145,1698.815,2698.815,1740.8129999999996,10.499499999999898,9.524263060145813,300.0,3.0,target,675,2.826325063098266,2022-11-10 03:15:00+00:00,2022-11-10 14:30:00+00:00,2022-10-04 00:00:00+00:00
1668085200000,1668086100000,1668090600000,1,pullback_ema20,1709.8335,1699.3845000000001,2699.3845,1741.1804999999995,10.448999999999842,9.57029380802005,300.0,3.0,target,75,2.7903148626663214,2022-11-10 13:15:00+00:00,2022-11-10 14:30:00+00:00,2022-10-04 00:00:00+00:00
1668088800000,1668089700000,1668203100000,1,pullback_ema20,1733.6350000000002,1721.7871013234133,2859.5769689820845,1769.178696029761,11.847898676586965,8.440315260090246,300.0,3.0,target,1890,2.9010207580456076,2022-11-10 14:15:00+00:00,2022-11-11 21:45:00+00:00,2022-10-04 00:00:00+00:00
1668092400000,1668093300000,1668381300000,1,breakout_24,1744.5355,1731.6960226574552,2969.643756911936,1762.104,12.839477342544797,7.7884790269959625,136.83189378577924,1.3683189378577925,timeout,4800,2.1640678400459596,2022-11-10 15:15:00+00:00,2022-11-13 23:15:00+00:00,2022-10-04 00:00:00+00:00
1668096000000,1668096900000,1668381300000,1,breakout_24,1751.4705,1738.1582710390655,3024.331167132511,1762.104,13.312228960934362,7.511890029344956,79.87768262704064,0.7987768262704065,timeout,4740,1.5662666305685709,2022-11-10 16:15:00+00:00,2022-11-13 23:15:00+00:00,2022-10-04 00:00:00+00:00
1668204000000,1668381300000,1668400200000,1,breakout_24,1766.9060000000002,1760.2459654068134,2898.149424725483,1760.1959654068135,6.660034593186765,15.014937024846732,-100.75074685124166,-1.0075074685124166,stop,315,0.0,2022-11-13 23:15:00+00:00,2022-11-14 04:30:00+00:00,2022-10-04 00:00:00+00:00
1668394800000,1668395700000,1668655800000,1,pullback_ema20,1763.685,1752.1954945851726,2852.6960360679004,1763.405,11.489505414827363,8.703594836288483,-2.4370065541605377,-0.02437006554160538,timeout,4335,1.9496052433286282,2022-11-14 03:15:00+00:00,2022-11-17 03:30:00+00:00,2022-10-04 00:00:00+00:00
1668434400000,1668435300000,1668695400000,1,pullback_ema20,1764.204,1753.598931185616,2771.2558126240133,1759.451,10.605068814383912,9.429453193586784,-44.818191029117315,-0.44818191029117316,timeout,4335,2.0632586532887323,2022-11-14 14:15:00+00:00,2022-11-17 14:30:00+00:00,2022-10-04 00:00:00+00:00
1668438000000,1668438900000,1668690900000,1,momentum_burst,1769.6195,1758.5858289580722,2817.5529331508696,1758.5358289580722,11.033671041927846,9.063166703085576,-100.45315833515386,-1.0045315833515387,stop,4200,1.4922957134965575,2022-11-14 15:15:00+00:00,2022-11-17 13:15:00+00:00,2022-10-04 00:00:00+00:00
1668744000000,1668744900000,1668781800000,1,ema_reclaim,1765.5095000000001,1754.9795,2754.9795,1754.9295,10.5300000000002,9.49667616334265,-100.47483380816671,-1.004748338081667,stop,615,0.17820512820511064,2022-11-18 04:15:00+00:00,2022-11-18 14:30:00+00:00,2022-10-04 00:00:00+00:00
1669082400000,1669083300000,1669176900000,1,ema_reclaim,1744.1439999999998,1733.67,2733.67,1733.6200000000001,10.473999999999705,9.547450830628492,-100.477372541531,-1.00477372541531,stop,1560,0.4994271529501758,2022-11-22 02:15:00+00:00,2022-11-23 04:15:00+00:00,2022-10-04 00:00:00+00:00
1669118400000,1669119300000,1669139100000,1,breakout_24,1749.0439999999999,1738.585,2738.585,1738.535,10.458999999999833,9.56114351276428,-100.47805717563779,-1.0047805717563778,stop,330,0.0,2022-11-22 12:15:00+00:00,2022-11-22 17:45:00+00:00,2022-10-04 00:00:00+00:00
1669172400000,1669173300000,1669211100000,1,ema_reclaim,1742.1490000000001,1731.7150000000001,2731.715,1731.6650000000002,10.433999999999969,9.584052137243654,-100.47920260686175,-1.0047920260686174,stop,630,0.30683342917384565,2022-11-23 03:15:00+00:00,2022-11-23 13:45:00+00:00,2022-10-04 00:00:00+00:00
1669190400000,1669191300000,1669199400000,1,momentum_burst,1744.684,1734.275,2734.275,1734.2250000000001,10.408999999999878,9.607070804111938,-100.48035354020516,-1.0048035354020515,stop,135,0.0,2022-11-23 08:15:00+00:00,2022-11-23 10:30:00+00:00,2022-10-04 00:00:00+00:00
1669233600000,1669234500000,1669590900000,1,breakout_24,1752.4189999999999,1741.9288937112012,2746.0395225910925,1750.7389999999998,10.490106288798643,9.532791875214858,-16.015090350361568,-0.1601509035036157,timeout,5940,0.7919366850334857,2022-11-23 20:15:00+00:00,2022-11-27 23:15:00+00:00,2022-10-04 00:00:00+00:00
1669251600000,1669252500000,1669590900000,1,breakout_24,1753.954,1743.54,2743.54,1750.7389999999998,10.413999999999987,9.602458229306714,-30.871903207222484,-0.30871903207222484,timeout,5640,0.6503264835798007,2022-11-24 01:15:00+00:00,2022-11-27 23:15:00+00:00,2022-10-04 00:00:00+00:00
1669255200000,1669256100000,1669590900000,1,breakout_24,1756.0645000000002,1745.5845,2745.5845,1750.7389999999998,10.480000000000246,9.541984732824204,-50.81583969465888,-0.5081583969465888,timeout,5580,0.444847328244246,2022-11-24 02:15:00+00:00,2022-11-27 23:15:00+00:00,2022-10-04 00:00:00+00:00
1669402800000,1669590900000,1669651200000,1,pullback_ema20,1758.1060000000002,1744.6599999999999,2744.66,1744.61,13.446000000000367,7.4371560315333385,-100.37185780157633,-1.0037185780157634,stop,1005,0.3933511825077804,2022-11-27 23:15:00+00:00,2022-11-28 16:00:00+00:00,2022-10-04 00:00:00+00:00
1669618800000,1669619700000,1669652100000,1,pullback_ema50,1752.2614999999998,1741.7655,2741.7655,1741.7155,10.495999999999867,9.527439024390365,-100.4763719512191,-1.004763719512191,stop,540,1.0607374237805145,2022-11-28 07:15:00+00:00,2022-11-28 16:15:00+00:00,2022-10-04 00:00:00+00:00
1669626000000,1669626900000,1669645800000,1,pullback_ema20,1759.8104999999998,1749.3755,2749.3755,1749.3255000000001,10.434999999999718,9.583133684715161,-100.47915668423532,-1.0047915668423533,stop,315,0.34350742692863045,2022-11-28 09:15:00+00:00,2022-11-28 14:30:00+00:00,2022-10-04 00:00:00+00:00
1669694400000,1669695300000,1669876200000,1,ema_reclaim,1750.945,1740.48,2740.48,1782.3399999999997,10.464999999999918,9.555661729574847,300.0,3.0,target,3015,2.9901098901099177,2022-11-29 04:15:00+00:00,2022-12-01 06:30:00+00:00,2022-10-04 00:00:00+00:00
1669734000000,1669734900000,1669898700000,1,pullback_ema20,1752.6345000000001,1742.23,2742.23,1783.8480000000004,10.404500000000098,9.611225911864967,300.0,3.0,target,2730,2.9877937430918706,2022-11-29 15:15:00+00:00,2022-12-01 12:45:00+00:00,2022-10-04 00:00:00+00:00
1669737600000,1669738500000,1669833000000,1,pullback_ema20,1755.644,1745.21,2745.21,1745.16,10.433999999999969,9.584052137243654,-100.47920260686175,-1.0047920260686174,stop,1575,0.8387962430515602,2022-11-29 16:15:00+00:00,2022-11-30 18:30:00+00:00,2022-10-04 00:00:00+00:00
1669834800000,1669835700000,1669904100000,1,pullback_ema50,1760.909,1749.9039615627703,2798.00780528573,1793.9241153116895,11.005038437229814,9.086746999601756,300.0,3.0,target,1140,2.812529931316735,2022-11-30 19:15:00+00:00,2022-12-01 14:15:00+00:00,2022-10-04 00:00:00+00:00
1669878000000,1669878900000,1670195700000,1,breakout_24,1783.2445,1772.8049999999998,2772.805,1796.2435,10.43950000000018,9.579002825805668,124.51745773264811,1.245174577326481,timeout,5280,1.9930552229512482,2022-12-01 07:15:00+00:00,2022-12-04 23:15:00+00:00,2022-10-04 00:00:00+00:00
1669899600000,1669900500000,1670195700000,1,breakout_24,1785.214,1774.77,2774.77,1796.2435,10.44399999999996,9.574875526618191,105.60608962083629,1.0560608962083629,timeout,4920,1.8036193029490675,2022-12-01 13:15:00+00:00,2022-12-04 23:15:00+00:00,2022-10-04 00:00:00+00:00
1669903200000,1669904100000,1669989600000,1,breakout_24,1789.8339999999998,1779.495,2779.495,1779.445,10.338999999999942,9.67211529161433,-100.48360576458028,-1.0048360576458029,stop,1425,1.375084631008819,2022-12-01 14:15:00+00:00,2022-12-02 14:00:00+00:00,2022-10-04 00:00:00+00:00
1670000400000,1670001300000,1670252400000,1,pullback_ema50,1796.0955,1784.4900250129633,2898.037523716651,1784.4400250129634,11.605474987036587,8.616622767418036,-100.43083113837051,-1.004308311383705,stop,4185,1.1580310168271626,2022-12-02 17:15:00+00:00,2022-12-05 15:00:00+00:00,2022-10-04 00:00:00+00:00
1670198400000,1670199300000,1670251500000,1,pullback_ema20,1799.474,1789.0405,2789.0405,1788.9905,10.433499999999867,9.584511429530002,-100.47922557147606,-1.0047922557147606,stop,870,0.9642976949250278,2022-12-05 00:15:00+00:00,2022-12-05 14:45:00+00:00,2022-10-04 00:00:00+00:00
