mfe_r,mae_r,peak_bar,final_r,hold
1.1695647034452874,3.739732592319213,44,-3.68007984713821,240
0.5493547476703741,2.124801046508343,109,-1.3477890438549442,240
2.1646357739406934,1.5377841707655977,107,-0.6071609306752251,240
2.05890597526078,1.0011655556478278,12,0.16260034976622922,240
3.698990847784252,0.2229628870699615,197,2.757687550202375,240
1.0399239364115787,2.7714589295887517,21,-1.5900785927450256,240
3.255717874370307,0.8579459109121904,239,3.108430164996349,240
0.9535350977394388,0.5860867530616524,89,0.23960171290161308,240
2.506915605932716,0.7421977425899681,168,-0.12065470994924092,240
1.4986401906513789,4.332023238173417,18,-2.8243360830131485,240
2.8610815170794632,1.7321448861864592,179,0.7636463900131175,240
1.3420078250264247,1.2186084528633858,240,1.2693639786889248,240
0.9602321721683831,3.4953469245439472,10,-3.2816791700321635,240
4.919243449151933,0.7604584606939861,192,4.034857107442236,240
0.19663119720237635,4.385021110989418,6,-1.7228253539602667,240
1.0117633152189367,6.03571105192677,21,-5.007977997259591,240
0.5268667550653588,2.8409573071015606,20,-2.0739081345681694,240
2.420299804976222,0.762109285427995,238,2.336454776593811,240
0.5850940736418614,1.2402734400887812,47,0.2500233760178864,240
3.2819155363869936,0.711256914281925,165,0.6056110484095474,240
4.328113159758421,3.942895378912067,75,-3.210959469066813,240
0.03318422286274322,6.859569268348108,1,-3.680911120720472,240
0.2756233783116121,1.5319674503933165,56,-0.07794686347359099,240
1.2054591103334162,0.45128327541404856,123,0.8790622135668641,240
3.326590295316104,0.09612528600123421,176,2.6849540112586308,240
0.13146256886906604,12.87022916755657,4,-8.338482939697004,240
5.470250230878335,1.5556051714891077,210,3.3345634264072808,240
5.602196238358645,0.5722216702142874,90,2.8781040889820555,240
3.87397686074433,1.0728338486357474,30,0.5232329436263297,240
3.138925485639464,0.019298392453774404,83,2.8536449015396412,240
3.2748072131773323,0.35978454728595877,136,1.717642142058086,240
1.6560460881334356,0.11878505457853421,239,1.6163474180604838,240
4.8290357255773655,0.5720909690233464,214,2.3448438261000137,240
5.358165472215502,0.3349714972339221,169,0.8492711697547686,240
1.5517574613958147,1.4676020549148463,230,0.25853147396408555,240
2.203053482576475,1.8415971479482687,65,-1.0027744304563133,240
0.14198953579604587,4.600884809155102,1,-2.247037385143794,240
1.3920971464509586,1.7497017981444312,92,0.0686047606750536,240
0.3514503928006985,1.4530395272246595,228,-0.3552294292825096,240
1.730927124071928,2.426550237608015,53,-0.9225588617443942,240
2.9508964721077224,1.16808385737267,65,1.190053642337107,240
0.4565879833049518,3.7550784370555608,73,-3.3812226353409094,240
3.246723178836138,0.9548498800861414,225,1.688960476939646,240
0.608523762248699,1.810141636190793,6,-1.3494176845239227,240
0.5302167964921517,2.963530108904909,47,-1.7690442874243077,240
2.4741834066248494,1.022245977660142,156,0.16119390737058042,240
1.2658838806401536,6.087950223657021,50,-3.613556337681502,240
0.46340048500377734,6.599675258183821,179,-4.5182533806078204,240
0.0972331726519057,4.23564174200662,9,-1.4409490613818967,240
0.8031996322252795,2.0832888386875354,150,-0.8812658022545041,240
1.207125434161546,0.97446992218306,211,0.955654603000508,240
2.489436631306228,0.3506656954459531,240,2.3952495643475324,240
2.163184395651353,0.5818398123863819,189,0.700324494678098,240
3.023815252468419,0.9892195611647425,240,2.9066424114353357,240
3.4148993912645644,1.7590325275778242,176,2.9376133001738753,240
0.5366962152703931,1.3542131610467214,88,-0.4859094874128255,240
0.192191867774011,1.64058639129344,7,-0.17022708288549315,240
0.07037791989928782,5.578101799424548,2,-4.768400276542931,240
4.25485887383208,0.275877587879781,238,3.8637412808883353,240
6.131780015117959,11.153779007809687,204,5.69735564754971,240
1.361234618782357,1.4086719476165426,186,0.5208474226828452,240
1.2327962853054997,3.3578159325599266,229,0.11576889485959593,240
0.11903898576471461,1.5317694575007592,1,-0.1547506814940556,240
1.3721464564202694,1.6324981017361293,55,-1.5858552988293275,240
0.34064335995293277,5.528800358384392,5,-4.774115345449824,240
3.3840014538941166,2.3418731866077396,240,3.105711860646318,240
7.901159537581366,1.4521653349959245,185,6.148616187799356,240
2.369560928019282,0.6775615370170824,232,1.2423372216824897,240
0.4996713030556035,2.6658662086036617,135,-1.6069499451548361,240
1.1993540924660648,2.5147747100096876,75,-0.8666300539109463,240
7.303891899424199,0.22287897483486274,239,6.965811219319332,240
6.310817540367081,0.171091102953361,236,5.718109076564279,240
0.18975075490456206,1.3907216443899693,2,-0.848366659418562,240
0.39089148647625677,0.7354931916592018,193,-0.5223887540758255,240
0.5332223553738915,0.8631549036096006,186,-0.34958065399741034,240
4.450550046275019,0.25609167729468435,201,2.1865634905232327,240
0.14429192288430773,4.2501887927045185,138,-2.726609482744997,240
1.355619496961516,4.057444466599889,13,-0.9880018486535873,240
1.5559740492733618,1.355622577895178,14,0.9381791566409248,240
3.7626447393474627,0.3293291965208211,214,1.9157415731104865,240
0.12439982405724204,4.419014916351257,2,-2.9923128305105102,240
0.6144126081780681,3.031012766195529,7,-2.037220495151236,240
7.443402437630109,0.23625474583260703,239,5.824193082046084,240
3.0315911928691266,4.7066157822359145,149,-3.4585503509086832,240
2.809531564129665,3.6789756666730367,140,1.1687111174547486,240
2.7436792439285127,3.5851400669539144,110,0.7268733190485634,240
2.496600881025117,3.763384408094187,95,1.4205106963135115,240
1.7450985644658734,0.9988073092948803,159,1.628360267567668,240
1.4354736502035528,10.0969571900807,29,-1.8490366407498975,240
1.4275847165769744,0.7640053211419207,90,1.0696733026646996,240
3.6153557519126283,1.6277328983972703,224,0.8812755447397708,240
0.09428013499881002,1.1779629438568795,2,-0.6820494337630383,240
0.7273013063494954,0.2509948328493624,235,0.598739418128371,240
2.92094784930602,0.8337380823093692,69,-0.5623585980134692,240
12.511278760983014,0.8137543579150255,208,11.654269391308942,240
1.1976492510818557,0.21899620227648833,24,-0.1652385832065911,240
0.09372124020911216,1.9332302882341885,41,-0.7765999237716648,240
2.661096013153334,0.47470348202769763,182,1.9375111410507557,240
2.0081301282377804,0.12604221017671519,79,1.007625578530575,240
8.350144090516912,0.44891868632007087,179,5.984983926019218,240
8.216032955627671,0.4707633789792323,164,5.872932625455988,240
0.09375008405221795,3.777086719701536,1,-2.9166692816227897,240
1.5805917483416887,2.0902413646859994,8,-1.3524856602751782,240
0.1588557548334691,0.6739398144115415,159,-0.1617705393258524,240
0.6757304134084359,1.1342978389501974,222,0.1491522536819946,240
2.3670651345370954,1.9290686014851293,216,-1.1741132869878672,240
2.2675968602229712,3.933305720443566,36,-3.650968473130818,240
0.35671274590818924,2.50288529980262,239,-0.7392208350124506,240
6.198673715249538,2.6736753879133626,209,5.411148546468299,240
3.2709394662468743,6.682929084661184,124,-3.5662632223473567,240
4.012856560538192,0.10841073547430194,240,3.88951169313642,240
4.813118808514507,0.4022322411983334,187,4.075693032984131,240
0.6983781711679461,4.705197621156648,88,-3.2529720078092668,240
4.3441676748297455,3.0588589414889413,105,2.2051919396738673,240
0.21267352672917553,4.822781206135591,1,-3.1336626188442445,240
1.2158165043066775,1.5125144310871117,15,-0.2010773449430032,240
1.0534112009999055,1.1425341134599067,46,-0.2832780267791397,240
1.1460740492531696,1.2525956556716122,103,-0.20987920472528512,240
3.2333124593061826,2.4112060243405606,195,1.2078993988601785,240
3.548038843273477,6.308946711458796,105,-1.9856758038521702,240
1.8380449256261475,0.0804959955311202,82,0.7456219981313399,240
2.4018531604822435,0.5861615128244527,221,1.6260345812485255,240
0.22149801199418456,2.440123035931104,1,-1.5000181824924337,240
0.22996543752717136,1.374437673189284,2,-0.6387267715015957,240
2.764821960228076,1.3221544088416641,182,2.3767983837202533,240
2.7682825281859085,1.3699017692232132,167,2.5063589729170905,240
0.0024952883964748937,3.1116246303362227,1,-2.789732427197883,240
1.992045923679128,0.6151521577719455,231,1.8985951490729076,240
0.21226329642787334,3.165460851083176,1,-2.4735607257088383,240
1.905989948465462,0.3696764615070727,129,0.7396821095341086,240
3.0278417108917535,0.16999735120408732,141,2.5767820723635797,240
0.12449738868448439,3.597085265917061,4,-2.543303797409703,240
2.4086728656608902,2.611367677508604,174,-0.4527193767154938,240
0.1411649350261934,2.0387919304613504,1,-0.9411767061505538,240
0.8780717096985642,5.318999833094496,21,-3.048425919900373,240
3.6760906790402905,0.45736882804263507,91,0.8236247337332857,240
1.736323624377512,2.4839001411704156,26,-2.409613321447095,240
1.420974775287371,0.5378430435444,239,1.2284204199412936,240
1.5046321739538364,0.6726991609642233,89,1.0005335621933427,240
2.4220889275581214,2.357785681693644,162,1.9398145835754677,240
2.534520175530549,4.842790168441576,66,-1.7383267847848256,240
1.8392917904103625,2.2017843053440123,214,0.2951213731776289,240
1.101805731286326,0.3532104497425586,161,0.018451292150651957,240
1.7283037822407865,4.509818038353706,51,-3.3900719259161667,240
0.610344363608844,1.2374005371734116,57,0.03850982294206054,240
0.7813277979245596,1.8438712838360254,26,0.1853998164567322,240
3.083737561317811,2.1029868249239234,240,1.9196989823844952,240
2.108390488851682,3.2755409136159255,157,0.79530643194397,240
1.9178567588054116,0.054655109688016595,194,0.8077308423559858,240
2.1188951490054633,1.413530529069588,198,0.16919786753026597,240
1.6575202989204276,2.517194517447825,231,1.369427485060529,240
4.649912560571836,0.20778677324903183,193,3.692999789029894,240
3.1536839088912973,0.08274044564202197,237,2.932830565524089,240
0.5935390681022754,2.397810227890507,28,-1.4718016744086302,240
0.5131141447846421,1.3515532370362284,130,-0.4496361062548685,240
