horizon_bars,n,slope,r_squared,p
1,76625,0.995463580220493,0.9909270579015386,0.0
4,19156,0.9664132620977248,0.9338608756566329,0.0
16,4789,0.7745308122206455,0.5996562678925067,0.0
48,1596,0.49040151433632345,0.2398039894178591,5.099567684240207e-97
