signal_ts,entry_ts,exit_ts,side,tag,entry_px,stop_px,target_px,exit_px,risk_px,qty,pnl,r,reason,hold_min,entry_dt,exit_dt,fold
1641202200000,1641202500000,1641219000000,-1,PULLBACK,1823.9820000000002,1830.365,1812.365,1810.3568965594147,6.382999999999811,15.666614444618983,213.459242371704,2.1345924237170397,stop,275,2022-01-03 09:35:00+00:00,2022-01-03 14:10:00+00:00,2022-01-03 00:00:00+00:00
1641279600000,1641279900000,1641288300000,-1,PULLBACK,1803.2134999999998,1809.5985,1791.5985,1805.3219937907504,6.385000000000218,15.661707126076207,-33.022612227885666,-0.33022612227885667,stop,140,2022-01-04 07:05:00+00:00,2022-01-04 09:25:00+00:00,2022-01-03 00:00:00+00:00
1641298500000,1641298800000,1641302100000,-1,PULLBACK,1801.7179999999998,1808.025,1790.025,1803.2468594111715,6.307000000000244,15.855398763278284,-24.24067561711738,-0.2424067561711738,stop,55,2022-01-04 12:20:00+00:00,2022-01-04 13:15:00+00:00,2022-01-03 00:00:00+00:00
1641380400000,1641380700000,1641389400000,-1,FADE,1818.0370000000003,1824.415,1806.415,1818.9949690419155,6.377999999999702,15.67889620570785,-15.019897176470574,-0.15019897176470573,stop,145,2022-01-05 11:05:00+00:00,2022-01-05 13:30:00+00:00,2022-01-03 00:00:00+00:00
1641383100000,1641383400000,1641389400000,-1,FADE,1819.157,1825.51,1807.51,1819.072279604624,6.3530000000000655,15.74059499449063,1.333549431383983,0.01333549431383983,stop,100,2022-01-05 11:50:00+00:00,2022-01-05 13:30:00+00:00,2022-01-03 00:00:00+00:00
1641389400000,1641389700000,1641395100000,1,PULLBACK,1821.563,1815.185,1833.185,1824.4711116486415,6.378000000000156,15.678896205706733,45.59598069365445,0.4559598069365445,stop,90,2022-01-05 13:35:00+00:00,2022-01-05 15:05:00+00:00,2022-01-03 00:00:00+00:00
1641397500000,1641397800000,1641409800000,1,PULLBACK,1823.3239999999998,1816.5990821172898,1835.6818357654206,1818.9590821172897,6.724917882710088,14.870070050535816,-64.90663468073697,-0.6490663468073697,stop,200,2022-01-05 15:50:00+00:00,2022-01-05 19:10:00+00:00,2022-01-03 00:00:00+00:00
1641401100000,1641401400000,1641409800000,1,PULLBACK,1824.3989999999997,1817.9945905183233,1836.1908189633532,1819.2545905183233,6.404409481676339,15.614242075886946,-80.3260549843826,-0.8032605498438259,stop,140,2022-01-05 16:50:00+00:00,2022-01-05 19:10:00+00:00,2022-01-03 00:00:00+00:00
1641473100000,1641473400000,1641476700000,-1,PULLBACK,1795.9209999999998,1802.5845193803457,1783.5809612393086,1793.6585193803455,6.6635193803458606,15.007084738877078,33.953238379219165,0.33953238379219164,stop,55,2022-01-06 12:50:00+00:00,2022-01-06 13:45:00+00:00,2022-01-03 00:00:00+00:00
1641481200000,1641481500000,1641525000000,-1,PULLBACK,1791.486,1800.269823224135,1775.10485355173,1791.819,8.783823224134949,11.384564266415804,-3.791059900714827,-0.03791059900714827,timeout,725,2022-01-06 15:05:00+00:00,2022-01-07 03:10:00+00:00,2022-01-03 00:00:00+00:00
1641482100000,1641482400000,1641525900000,-1,PULLBACK,1788.7879999999998,1798.3117287081254,1770.9210425837496,1793.3725,9.523728708125645,10.500089100047548,-48.13765847916969,-0.48137658479169687,timeout,725,2022-01-06 15:20:00+00:00,2022-01-07 03:25:00+00:00,2022-01-03 00:00:00+00:00
1641541500000,1641541800000,1641547500000,-1,PULLBACK,1789.0059999999999,1795.425,1777.425,1791.2315299163515,6.419000000000096,15.578750584202913,-34.6709754845245,-0.34670975484524497,stop,95,2022-01-07 07:50:00+00:00,2022-01-07 09:25:00+00:00,2022-01-03 00:00:00+00:00
1641546900000,1641547200000,1641561600000,-1,PULLBACK,1789.4080000000001,1795.7649999999999,1777.7649999999999,1792.005898273614,6.3569999999997435,15.73069057731698,-40.866733893567236,-0.40866733893567236,stop,240,2022-01-07 09:20:00+00:00,2022-01-07 13:20:00+00:00,2022-01-03 00:00:00+00:00
1641554100000,1641554400000,1641562500000,-1,PULLBACK,1789.871,1796.2,1778.2,1792.0607615925087,6.328999999999951,15.800284405119415,-34.598855941043134,-0.34598855941043133,stop,135,2022-01-07 11:20:00+00:00,2022-01-07 13:35:00+00:00,2022-01-03 00:00:00+00:00
1641564000000,1641564300000,1641574800000,-1,PULLBACK,1788.8905,1796.3673226369476,1775.2253547261048,1794.0113226369476,7.476822636947645,13.374665263000571,-68.48928864037073,-0.6848928864037073,stop,175,2022-01-07 14:05:00+00:00,2022-01-07 17:00:00+00:00,2022-01-03 00:00:00+00:00
1641570300000,1641570600000,1641574800000,-1,PULLBACK,1787.6309999999999,1796.0793602884978,1771.8112794230044,1795.0533602884977,8.448360288497952,11.836616406635182,-87.8556315667915,-0.878556315667915,stop,70,2022-01-07 15:50:00+00:00,2022-01-07 17:00:00+00:00,2022-01-03 00:00:00+00:00
