tf,strategies,stop_atr,min_stop,hours,n,trades_per_day,avg_stop_usd,cost_pct_of_risk,E_R,win,t,R_per_year,maxDD_R,avg_hold_min
30min,pullback+sweep,4.0,3.0,07-20,289,1.99,14.42,5.6,-0.0462,0.467,-0.9,-8.1,18.9,1061.0
30min,pullback+sweep,4.0,3.0,12-20,211,1.66,16.2,5.0,-0.0005,0.507,-0.01,-0.1,12.8,1326.0
30min,pullback+sweep+fade,4.0,3.0,07-20,303,2.08,14.44,5.6,-0.0133,0.472,-0.26,-2.4,18.4,1051.0
30min,pullback+sweep+fade,4.0,3.0,12-20,222,1.71,16.26,4.9,0.0266,0.514,0.48,3.6,12.6,1513.0
30min,pullback+sweep+fade+vwap,4.0,3.0,07-20,342,2.26,14.98,5.4,-0.0087,0.459,-0.19,-1.8,17.9,1087.0
30min,pullback+sweep+fade+vwap,4.0,3.0,12-20,264,1.89,16.72,4.8,0.0167,0.492,0.34,2.7,14.2,1489.0
30min,pullback,1.5,5.0,07-20,228,2.05,6.27,12.8,0.0286,0.434,0.36,3.9,27.4,419.0
30min,pullback,1.5,5.0,12-20,162,1.76,6.56,12.3,0.0323,0.463,0.37,3.2,15.6,539.0
30min,pullback+sweep,1.5,5.0,07-20,350,2.41,6.29,12.8,-0.0272,0.409,-0.43,-5.8,28.8,411.0
30min,pullback+sweep,1.5,5.0,12-20,244,1.92,6.64,12.1,0.0124,0.451,0.17,1.8,21.3,546.0
30min,pullback+sweep+fade,1.5,5.0,07-20,372,2.55,6.31,12.7,0.0015,0.417,0.02,0.3,22.3,418.0
30min,pullback+sweep+fade,1.5,5.0,12-20,260,2.0,6.67,12.1,0.0347,0.454,0.48,5.5,15.6,552.0
30min,pullback+sweep+fade+vwap,1.5,5.0,07-20,432,2.86,6.48,12.4,-0.0333,0.4,-0.58,-8.7,35.3,489.0
30min,pullback+sweep+fade+vwap,1.5,5.0,12-20,323,2.31,6.82,11.8,-0.016,0.424,-0.25,-3.1,21.3,625.0
30min,pullback,2.5,5.0,07-20,212,1.91,9.28,8.7,-0.0077,0.448,-0.11,-1.0,26.9,646.0
30min,pullback,2.5,5.0,12-20,155,1.68,10.21,7.9,0.0125,0.477,0.17,1.2,15.7,780.0
30min,pullback+sweep,2.5,5.0,07-20,328,2.26,9.32,8.6,-0.0457,0.424,-0.78,-9.1,24.6,663.0
30min,pullback+sweep,2.5,5.0,12-20,229,1.8,10.38,7.7,0.0215,0.48,0.35,3.0,16.1,831.0
30min,pullback+sweep+fade,2.5,5.0,07-20,347,2.38,9.33,8.6,-0.0116,0.432,-0.19,-2.4,22.9,791.0
30min,pullback+sweep+fade,2.5,5.0,12-20,243,1.87,10.4,7.7,0.0618,0.49,0.89,9.2,15.4,1015.0
30min,pullback+sweep+fade+vwap,2.5,5.0,07-20,400,2.65,9.66,8.3,-0.0325,0.418,-0.58,-7.9,22.5,849.0
30min,pullback+sweep+fade+vwap,2.5,5.0,12-20,296,2.11,10.64,7.6,0.0301,0.463,0.51,5.4,15.5,1052.0
30min,pullback,4.0,5.0,07-20,191,1.72,14.42,5.6,-0.0165,0.503,-0.26,-1.9,18.8,1169.0
30min,pullback,4.0,5.0,12-20,146,1.59,16.02,5.0,-0.0094,0.521,-0.15,-0.8,9.0,1442.0
30min,pullback+sweep,4.0,5.0,07-20,289,1.99,14.42,5.6,-0.0462,0.467,-0.9,-8.1,18.9,1061.0
30min,pullback+sweep,4.0,5.0,12-20,211,1.66,16.2,5.0,-0.0005,0.507,-0.01,-0.1,12.8,1326.0
30min,pullback+sweep+fade,4.0,5.0,07-20,303,2.08,14.44,5.6,-0.0133,0.472,-0.26,-2.4,18.4,1051.0
30min,pullback+sweep+fade,4.0,5.0,12-20,222,1.71,16.26,4.9,0.0266,0.514,0.48,3.6,12.6,1513.0
30min,pullback+sweep+fade+vwap,4.0,5.0,07-20,342,2.26,14.98,5.4,-0.0087,0.459,-0.19,-1.8,17.9,1087.0
30min,pullback+sweep+fade+vwap,4.0,5.0,12-20,264,1.89,16.72,4.8,0.0167,0.492,0.34,2.7,14.2,1489.0
30min,pullback,1.5,8.0,07-20,205,1.85,8.53,9.4,0.0314,0.459,0.4,3.9,23.1,595.0
30min,pullback,1.5,8.0,12-20,153,1.66,8.59,9.4,0.0564,0.484,0.68,5.3,13.2,758.0
30min,pullback+sweep,1.5,8.0,07-20,321,2.21,8.53,9.4,-0.0212,0.43,-0.33,-4.1,21.5,563.0
30min,pullback+sweep,1.5,8.0,12-20,230,1.81,8.61,9.3,0.0405,0.47,0.57,5.7,18.0,714.0
30min,pullback+sweep+fade,1.5,8.0,07-20,342,2.34,8.53,9.4,0.0075,0.439,0.12,1.6,16.1,566.0
30min,pullback+sweep+fade,1.5,8.0,12-20,246,1.89,8.6,9.3,0.0774,0.48,1.09,11.6,14.5,716.0
30min,pullback+sweep+fade+vwap,1.5,8.0,07-20,393,2.6,8.64,9.3,-0.0261,0.42,-0.46,-6.2,18.2,638.0
30min,pullback+sweep+fade+vwap,1.5,8.0,12-20,299,2.14,8.75,9.2,0.0257,0.452,0.42,4.7,13.1,798.0
30min,pullback,2.5,8.0,07-20,203,1.83,10.07,8.0,0.0024,0.463,0.03,0.3,22.5,691.0
30min,pullback,2.5,8.0,12-20,152,1.65,10.68,7.5,0.0143,0.487,0.19,1.3,12.5,855.0
30min,pullback+sweep,2.5,8.0,07-20,314,2.17,10.12,7.9,-0.0376,0.439,-0.64,-7.1,18.9,704.0
30min,pullback+sweep,2.5,8.0,12-20,224,1.76,10.82,7.4,0.0289,0.491,0.47,4.0,14.4,879.0
30min,pullback+sweep+fade,2.5,8.0,07-20,332,2.27,10.13,7.9,-0.0074,0.446,-0.12,-1.5,17.5,836.0
30min,pullback+sweep+fade,2.5,8.0,12-20,237,1.82,10.85,7.4,0.0684,0.498,0.98,9.9,14.1,1065.0
30min,pullback+sweep+fade+vwap,2.5,8.0,07-20,383,2.54,10.39,7.7,-0.0312,0.428,-0.56,-7.2,21.4,885.0
30min,pullback+sweep+fade+vwap,2.5,8.0,12-20,289,2.06,11.05,7.3,0.036,0.471,0.61,6.3,12.5,1095.0
30min,pullback,4.0,8.0,07-20,191,1.72,14.48,5.6,-0.0193,0.503,-0.31,-2.2,18.8,1171.0
30min,pullback,4.0,8.0,12-20,146,1.59,16.04,5.0,-0.0101,0.521,-0.16,-0.9,9.0,1442.0
30min,pullback+sweep,4.0,8.0,07-20,289,1.99,14.5,5.5,-0.0432,0.471,-0.84,-7.6,17.4,1065.0
30min,pullback+sweep,4.0,8.0,12-20,211,1.66,16.21,5.0,-0.001,0.507,-0.02,-0.1,12.8,1326.0
30min,pullback+sweep+fade,4.0,8.0,07-20,303,2.08,14.51,5.5,-0.0104,0.475,-0.2,-1.9,16.9,1055.0
30min,pullback+sweep+fade,4.0,8.0,12-20,222,1.71,16.28,4.9,0.0261,0.514,0.47,3.5,12.6,1513.0
30min,pullback+sweep+fade+vwap,4.0,8.0,07-20,342,2.26,15.05,5.3,-0.0062,0.462,-0.13,-1.3,16.4,1091.0
30min,pullback+sweep+fade+vwap,4.0,8.0,12-20,264,1.89,16.73,4.8,0.0163,0.492,0.34,2.6,14.2,1489.0
30min,pullback,1.5,12.0,07-20,189,1.7,12.36,6.5,0.0031,0.519,0.05,0.4,18.4,864.0
30min,pullback,1.5,12.0,12-20,146,1.59,12.38,6.5,0.0437,0.527,0.67,3.9,10.2,1010.0
30min,pullback+sweep,1.5,12.0,07-20,288,1.99,12.36,6.5,-0.0352,0.479,-0.68,-6.1,18.6,855.0
30min,pullback+sweep,1.5,12.0,12-20,215,1.69,12.34,6.5,0.035,0.507,0.63,4.6,11.5,1005.0
30min,pullback+sweep+fade,1.5,12.0,07-20,304,2.08,12.37,6.5,-0.0198,0.48,-0.36,-3.6,17.8,1010.0
30min,pullback+sweep+fade,1.5,12.0,12-20,230,1.77,12.34,6.5,0.0644,0.509,1.04,9.1,11.3,1197.0
30min,pullback+sweep+fade+vwap,1.5,12.0,07-20,348,2.3,12.42,6.5,-0.0349,0.451,-0.69,-7.3,25.5,1021.0
30min,pullback+sweep+fade+vwap,1.5,12.0,12-20,276,1.97,12.43,6.5,0.0382,0.478,0.71,6.4,13.3,1188.0
30min,pullback,2.5,12.0,07-20,189,1.7,12.83,6.3,0.0004,0.519,0.01,0.0,18.4,884.0
30min,pullback,2.5,12.0,12-20,146,1.59,12.98,6.2,0.0388,0.527,0.61,3.5,10.2,1036.0
30min,pullback+sweep,2.5,12.0,07-20,288,1.99,12.92,6.2,-0.0273,0.486,-0.54,-4.8,16.7,894.0
30min,pullback+sweep,2.5,12.0,12-20,215,1.69,13.09,6.1,0.0443,0.516,0.83,5.8,11.5,1056.0
30min,pullback+sweep+fade,2.5,12.0,07-20,302,2.07,12.93,6.2,-0.0122,0.49,-0.22,-2.2,17.0,1043.0
30min,pullback+sweep+fade,2.5,12.0,12-20,228,1.75,13.09,6.1,0.0732,0.522,1.23,10.2,11.3,1242.0
30min,pullback+sweep+fade+vwap,2.5,12.0,07-20,346,2.29,13.12,6.1,-0.0255,0.46,-0.52,-5.3,21.3,1060.0
30min,pullback+sweep+fade+vwap,2.5,12.0,12-20,274,1.96,13.28,6.1,0.0476,0.489,0.92,8.0,12.5,1239.0
30min,pullback,4.0,12.0,07-20,187,1.68,15.37,5.2,-0.0049,0.524,-0.08,-0.6,14.7,1226.0
30min,pullback,4.0,12.0,12-20,146,1.59,16.51,4.9,0.0088,0.534,0.15,0.8,7.5,1472.0
30min,pullback+sweep,4.0,12.0,07-20,282,1.94,15.4,5.2,-0.0367,0.486,-0.75,-6.3,19.0,1114.0
30min,pullback+sweep,4.0,12.0,12-20,211,1.66,16.64,4.8,0.0104,0.517,0.21,1.3,11.3,1347.0
30min,pullback+sweep+fade,4.0,12.0,07-20,295,2.02,15.4,5.2,-0.0126,0.488,-0.26,-2.3,16.0,1104.0
30min,pullback+sweep+fade,4.0,12.0,12-20,222,1.71,16.7,4.8,0.0368,0.523,0.68,5.0,11.1,1534.0
30min,pullback+sweep+fade+vwap,4.0,12.0,07-20,334,2.21,15.89,5.1,-0.0093,0.47,-0.21,-1.9,16.1,1128.0
30min,pullback+sweep+fade+vwap,4.0,12.0,12-20,264,1.89,17.1,4.7,0.0249,0.5,0.52,4.0,13.2,1506.0
