tf,strategies,stop_atr,min_stop,hours,n,trades_per_day,avg_stop_usd,cost_pct_of_risk,E_R,win,t,R_per_year,maxDD_R,avg_hold_min
5min,pullback,4.0,5.0,12-20,427,2.57,8.39,9.6,-0.0602,0.429,-1.21,-15.5,37.2,718.0
5min,pullback+sweep,4.0,5.0,07-20,705,4.15,7.57,10.6,-0.0973,0.37,-2.22,-41.5,89.3,500.0
5min,pullback+sweep,4.0,5.0,12-20,537,3.18,8.52,9.4,0.0175,0.449,0.37,5.7,23.9,660.0
5min,pullback+sweep+fade,4.0,5.0,07-20,698,4.11,7.6,10.6,-0.1338,0.357,-3.07,-56.4,114.5,486.0
5min,pullback+sweep+fade,4.0,5.0,12-20,546,3.21,8.48,9.5,0.0113,0.438,0.24,3.7,29.6,648.0
5min,pullback+sweep+fade+vwap,4.0,5.0,07-20,783,4.61,7.96,10.1,-0.0997,0.361,-2.41,-47.2,86.4,489.0
5min,pullback+sweep+fade+vwap,4.0,5.0,12-20,622,3.66,8.67,9.3,-0.0187,0.421,-0.42,-7.0,34.7,609.0
5min,pullback,1.5,8.0,07-20,526,3.09,8.41,9.6,0.0384,0.449,0.78,12.2,34.1,612.0
5min,pullback,1.5,8.0,12-20,405,2.44,8.41,9.6,-0.0508,0.425,-0.98,-12.4,28.1,767.0
5min,pullback+sweep,1.5,8.0,07-20,653,3.84,8.37,9.6,-0.063,0.394,-1.43,-24.9,62.3,565.0
5min,pullback+sweep,1.5,8.0,12-20,509,3.01,8.37,9.6,0.013,0.432,0.26,4.0,30.8,691.0
5min,pullback+sweep+fade,1.5,8.0,07-20,652,3.84,8.39,9.6,-0.103,0.37,-2.36,-40.6,86.8,543.0
5min,pullback+sweep+fade,1.5,8.0,12-20,521,3.06,8.38,9.6,0.0307,0.432,0.62,9.7,30.2,675.0
5min,pullback+sweep+fade+vwap,1.5,8.0,07-20,726,4.27,8.4,9.6,-0.1306,0.36,-3.15,-57.3,104.2,516.0
5min,pullback+sweep+fade+vwap,1.5,8.0,12-20,592,3.48,8.42,9.6,-0.0156,0.407,-0.34,-5.6,47.9,603.0
5min,pullback,2.5,8.0,07-20,525,3.09,8.5,9.5,0.049,0.453,0.99,15.6,34.1,616.0
5min,pullback,2.5,8.0,12-20,404,2.43,8.56,9.4,-0.0458,0.428,-0.89,-11.2,28.1,773.0
5min,pullback+sweep,2.5,8.0,07-20,647,3.81,8.53,9.4,-0.0518,0.4,-1.18,-20.2,57.7,575.0
5min,pullback+sweep,2.5,8.0,12-20,504,2.98,8.59,9.4,0.02,0.438,0.4,6.1,29.0,704.0
5min,pullback+sweep+fade,2.5,8.0,07-20,653,3.84,8.57,9.4,-0.0938,0.375,-2.17,-37.0,83.9,548.0
5min,pullback+sweep+fade,2.5,8.0,12-20,516,3.04,8.59,9.4,0.0376,0.438,0.76,11.7,28.3,688.0
5min,pullback+sweep+fade+vwap,2.5,8.0,07-20,720,4.24,8.62,9.3,-0.112,0.367,-2.7,-48.7,90.1,536.0
5min,pullback+sweep+fade+vwap,2.5,8.0,12-20,589,3.46,8.63,9.3,-0.0075,0.409,-0.16,-2.7,45.0,619.0
5min,pullback,4.0,8.0,07-20,523,3.08,9.19,8.7,0.0396,0.453,0.83,12.5,31.6,651.0
5min,pullback,4.0,8.0,12-20,401,2.42,9.59,8.4,-0.0594,0.429,-1.22,-14.4,29.0,818.0
5min,pullback+sweep,4.0,8.0,07-20,634,3.73,9.33,8.6,-0.0479,0.412,-1.12,-18.3,51.9,631.0
5min,pullback+sweep,4.0,8.0,12-20,489,2.89,9.69,8.3,0.0507,0.464,1.07,15.0,17.3,781.0
5min,pullback+sweep+fade,4.0,8.0,07-20,635,3.74,9.41,8.5,-0.0956,0.387,-2.27,-36.7,77.6,604.0
5min,pullback+sweep+fade,4.0,8.0,12-20,495,2.91,9.66,8.3,0.0542,0.461,1.14,16.2,22.8,765.0
5min,pullback+sweep+fade+vwap,4.0,8.0,07-20,680,4.0,9.62,8.4,-0.0774,0.391,-1.88,-31.8,62.0,606.0
5min,pullback+sweep+fade+vwap,4.0,8.0,12-20,558,3.28,9.92,8.1,0.0185,0.43,0.41,6.2,34.6,715.0
5min,pullback,1.5,12.0,07-20,456,2.68,12.33,6.5,0.0109,0.469,0.25,3.0,20.9,741.0
5min,pullback,1.5,12.0,12-20,371,2.23,12.33,6.5,-0.0238,0.469,-0.54,-5.3,23.9,919.0
5min,pullback+sweep,1.5,12.0,07-20,536,3.15,12.3,6.5,-0.072,0.425,-1.69,-23.3,56.5,794.0
5min,pullback+sweep,1.5,12.0,12-20,422,2.5,12.3,6.5,0.0673,0.509,1.47,17.1,11.3,1019.0
5min,pullback+sweep+fade,1.5,12.0,07-20,551,3.24,12.34,6.5,-0.1144,0.39,-2.76,-38.1,80.8,777.0
5min,pullback+sweep+fade,1.5,12.0,12-20,426,2.51,12.29,6.5,0.0653,0.509,1.45,16.8,18.3,1040.0
5min,pullback+sweep+fade+vwap,1.5,12.0,07-20,608,3.58,12.39,6.5,-0.0764,0.41,-1.92,-28.1,53.4,758.0
5min,pullback+sweep+fade+vwap,1.5,12.0,12-20,463,2.72,12.36,6.5,-0.0018,0.438,-0.04,-0.5,30.2,969.0
5min,pullback,2.5,12.0,07-20,456,2.68,12.36,6.5,0.0137,0.471,0.31,3.8,20.9,742.0
5min,pullback,2.5,12.0,12-20,371,2.23,12.36,6.5,-0.0204,0.472,-0.46,-4.6,22.7,921.0
5min,pullback+sweep,2.5,12.0,07-20,536,3.15,12.35,6.5,-0.068,0.427,-1.6,-22.0,54.3,796.0
5min,pullback+sweep,2.5,12.0,12-20,422,2.5,12.36,6.5,0.0724,0.512,1.59,18.5,9.8,1023.0
5min,pullback+sweep+fade,2.5,12.0,07-20,551,3.24,12.38,6.5,-0.1105,0.392,-2.67,-36.8,78.5,779.0
5min,pullback+sweep+fade,2.5,12.0,12-20,426,2.51,12.35,6.5,0.0702,0.512,1.56,18.1,16.2,1043.0
5min,pullback+sweep+fade+vwap,2.5,12.0,07-20,604,3.55,12.43,6.5,-0.0761,0.409,-1.92,-27.8,52.9,764.0
5min,pullback+sweep+fade+vwap,2.5,12.0,12-20,459,2.7,12.42,6.5,-0.0008,0.438,-0.02,-0.2,30.2,978.0
5min,pullback,4.0,12.0,07-20,456,2.68,12.56,6.4,0.0125,0.474,0.29,3.4,20.9,765.0
5min,pullback,4.0,12.0,12-20,371,2.23,12.67,6.3,-0.0251,0.474,-0.58,-5.6,21.8,958.0
5min,pullback+sweep,4.0,12.0,07-20,532,3.13,12.66,6.3,-0.0669,0.432,-1.6,-21.5,49.5,824.0
5min,pullback+sweep,4.0,12.0,12-20,416,2.46,12.73,6.3,0.0765,0.522,1.71,19.2,9.8,1066.0
5min,pullback+sweep+fade,4.0,12.0,07-20,547,3.22,12.74,6.3,-0.1112,0.397,-2.73,-36.8,74.6,806.0
5min,pullback+sweep+fade,4.0,12.0,12-20,419,2.46,12.72,6.3,0.0769,0.523,1.74,19.5,14.1,1087.0
5min,pullback+sweep+fade+vwap,4.0,12.0,07-20,598,3.52,12.85,6.3,-0.0757,0.416,-1.94,-27.4,52.0,785.0
5min,pullback+sweep+fade+vwap,4.0,12.0,12-20,451,2.65,12.93,6.2,0.0094,0.452,0.22,2.6,27.1,1015.0
15min,pullback,1.5,3.0,07-20,374,2.6,4.59,17.5,-0.0872,0.366,-1.38,-19.7,40.0,235.0
15min,pullback,1.5,3.0,12-20,244,2.09,4.94,16.3,-0.0752,0.377,-0.98,-11.1,29.0,295.0
15min,pullback+sweep,1.5,3.0,07-20,584,3.56,4.59,17.5,-0.128,0.336,-2.47,-45.2,88.9,226.0
15min,pullback+sweep,1.5,3.0,12-20,367,2.45,5.04,15.9,-0.1388,0.332,-2.17,-30.8,57.0,299.0
15min,pullback+sweep+fade,1.5,3.0,07-20,619,3.71,4.64,17.3,-0.1125,0.344,-2.25,-42.1,84.6,242.0
15min,pullback+sweep+fade,1.5,3.0,12-20,406,2.64,5.05,15.9,-0.0938,0.355,-1.54,-23.0,44.2,316.0
15min,pullback+sweep+fade+vwap,1.5,3.0,07-20,749,4.43,4.83,16.6,-0.1091,0.339,-2.37,-49.5,94.3,287.0
15min,pullback+sweep+fade+vwap,1.5,3.0,12-20,574,3.5,5.19,15.5,-0.0842,0.354,-1.63,-29.2,55.4,361.0
15min,pullback,2.5,3.0,07-20,335,2.33,6.96,11.5,-0.0231,0.412,-0.36,-4.7,37.3,455.0
15min,pullback,2.5,3.0,12-20,224,1.91,7.84,10.3,-0.0658,0.424,-0.93,-8.9,25.4,610.0
15min,pullback+sweep,2.5,3.0,07-20,513,3.13,6.97,11.5,-0.0394,0.386,-0.75,-12.2,54.1,467.0
