policy,maxOpen,risk,rules,accts,passed,fail_daily,fail_dd,running,med_days
hold_24h_flat_fri,2,0.5,trailing-DD (5% daily / 6% trailing),183,27.9,0.0,62.3,9.8,17
hold_24h_flat_fri,2,0.5,strict 1-step (4% daily / 6% trailing),183,27.9,0.5,61.7,9.8,17
hold_24h_flat_fri,3,0.25,typical 2-step (5% daily / 10% static),183,85.2,0.0,2.7,12.0,87
hold_24h_flat_fri,3,0.25,trailing-DD (5% daily / 6% trailing),183,30.1,0.0,57.9,12.0,29
hold_24h_flat_fri,3,0.25,strict 1-step (4% daily / 6% trailing),183,30.1,0.0,57.9,12.0,29
hold_24h_flat_fri,3,0.5,typical 2-step (5% daily / 10% static),183,66.1,0.0,21.9,12.0,23
hold_24h_flat_fri,3,0.5,trailing-DD (5% daily / 6% trailing),183,26.2,0.0,63.9,9.8,9
hold_24h_flat_fri,3,0.5,strict 1-step (4% daily / 6% trailing),183,26.2,0.0,63.9,9.8,9
hold_24h_flat_fri,5,0.25,typical 2-step (5% daily / 10% static),183,78.7,0.0,9.3,12.0,41
hold_24h_flat_fri,5,0.25,trailing-DD (5% daily / 6% trailing),183,30.6,0.0,57.4,12.0,15
hold_24h_flat_fri,5,0.25,strict 1-step (4% daily / 6% trailing),183,30.6,0.0,57.4,12.0,15
hold_24h_flat_fri,5,0.5,typical 2-step (5% daily / 10% static),183,60.7,4.4,24.0,10.9,8
hold_24h_flat_fri,5,0.5,trailing-DD (5% daily / 6% trailing),183,26.8,2.2,62.3,8.7,3
hold_24h_flat_fri,5,0.5,strict 1-step (4% daily / 6% trailing),183,26.2,6.6,58.5,8.7,3
