signal_ts,entry_ts,exit_ts,side,tag,entry_px,stop_px,target_px,exit_px,risk_px,qty,pnl,r,reason,hold_min,mfe_r,entry_dt,exit_dt,fold
1668009600000,1668009900000,1668020100000,1,pullback_ema20,1712.0539999999999,1704.2592709282444,2436.832178103809,1704.2092709282445,7.794729071755455,12.829182269125225,-100.64145911345568,-1.0064145911345568,stop,170,0.25677608311655137,2022-11-09 16:05:00+00:00,2022-11-09 18:55:00+00:00,2022-10-03 00:00:00+00:00
1668015000000,1668015300000,1668019200000,1,pullback_ema20,1712.3239999999998,1705.97,2305.9700000000003,1705.92,6.3539999999998145,15.738117721121014,-100.78690588605534,-1.0078690588605534,stop,65,0.09576644633306489,2022-11-09 17:35:00+00:00,2022-11-09 18:40:00+00:00,2022-10-03 00:00:00+00:00
1668016800000,1668017100000,1668019200000,1,pullback_ema20,1713.034,1706.58,2306.58,1706.53,6.454000000000178,15.494267121164741,-100.77471335605753,-1.0077471335605752,stop,35,0.0,2022-11-09 18:05:00+00:00,2022-11-09 18:40:00+00:00,2022-10-03 00:00:00+00:00
1668042000000,1668042300000,1668129000000,1,ema_reclaim,1707.069,1700.54,2300.54,1750.741,6.528999999999996,15.316281206922968,668.8926328687402,6.688926328687402,timeout,1445,7.610813294532097,2022-11-10 01:05:00+00:00,2022-11-11 01:10:00+00:00,2022-10-03 00:00:00+00:00
1668050100000,1668050400000,1668076200000,1,breakout_24,1710.35,1703.9099999999999,2303.91,1703.86,6.440000000000055,15.527950310558875,-100.77639751552724,-1.0077639751552723,stop,430,0.2874223602484623,2022-11-10 03:20:00+00:00,2022-11-10 10:30:00+00:00,2022-10-03 00:00:00+00:00
1668057300000,1668057600000,1668065700000,1,breakout_24,1711.5339999999999,1705.1149999999998,2305.115,1705.0649999999998,6.419000000000096,15.578750584202913,-100.77893752920944,-1.0077893752920943,stop,135,0.10391026639665582,2022-11-10 05:20:00+00:00,2022-11-10 07:35:00+00:00,2022-10-03 00:00:00+00:00
1668060000000,1668060300000,1668065400000,1,breakout_24,1712.7395,1706.2649999999999,2306.265,1706.215,6.474500000000035,15.445208124179391,-100.77226040620828,-1.0077226040620828,stop,85,0.0,2022-11-10 06:05:00+00:00,2022-11-10 07:30:00+00:00,2022-10-03 00:00:00+00:00
1668062700000,1668063000000,1668065400000,1,pullback_ema20,1711.5990000000002,1705.1750000000002,2305.175,1705.1250000000002,6.423999999999978,15.566625155666305,-100.77833125778261,-1.0077833125778262,stop,40,0.0,2022-11-10 06:50:00+00:00,2022-11-10 07:30:00+00:00,2022-10-03 00:00:00+00:00
1668068100000,1668068400000,1668155100000,1,pullback_ema50,1709.504,1703.025,2303.025,1756.6809999999998,6.4789999999998145,15.434480629727252,728.1524926686411,7.281524926686411,timeout,1445,8.405155116530587,2022-11-10 08:20:00+00:00,2022-11-11 08:25:00+00:00,2022-10-03 00:00:00+00:00
1668069000000,1668069300000,1668156000000,1,pullback_ema50,1709.574,1703.13,2303.13,1759.876,6.44399999999996,15.518311607697179,780.6021104903821,7.806021104903821,timeout,1445,8.439944134078257,2022-11-10 08:35:00+00:00,2022-11-11 08:40:00+00:00,2022-10-03 00:00:00+00:00
