feature,horizon,n_top,n_bot,mean_top,mean_bot,spread,t,p,set,test_spread,test_t,same_sign,fdr_pass,survivor
f_range_z,4,4101,4079,-0.03767100957960256,0.014293013169957226,-0.05196402274955979,-1.4865131736282444,0.1371864591011761,train,-0.0663370339095051,-0.6604867816114874,True,False,False
f_rsi,4,2965,3000,-0.01728069634480785,0.04296212920806454,-0.06024282555287239,-1.457081056407624,0.1451470923443485,train,-0.05291201055266282,-1.006182584290253,True,False,False
f_ext_ema50,48,496,485,0.20624759162092215,-0.3223585285381125,0.5286061201590346,1.2871601030662871,0.19834278407194922,train,0.7958593165350053,0.9125202478834891,True,False,False
f_spread_per_range,4,3845,3854,0.01595198595904867,-0.027306314901399103,0.04325830086044777,1.2073317085694697,0.2273452044175244,train,0.1182536213778915,1.233965684782857,True,False,False
f_ext_ema50,4,2750,2771,-0.015299264843687767,0.034359579020235814,-0.04965884386392358,-1.165506107260076,0.24386484598552546,train,0.1660582698781158,1.2079783225679424,False,False,False
f_vol_of_vol,48,406,545,0.2921501044240566,-0.045798276578701995,0.3379483810027586,1.0178690185282644,0.3090301523544428,train,0.24566842271410816,0.24575447678129025,True,False,False
f_spread_per_range,16,1518,1556,0.041415271348535336,-0.07338181682414692,0.11479708817268225,0.9927087588107935,0.32093149382942343,train,0.12746063279129843,0.45385462223563533,True,False,False
f_range_z,16,1712,1626,-0.02820253988299697,0.08114198000437921,-0.10934451988737617,-0.9742735768672596,0.32999281348047704,train,0.034075254146809564,0.13307282531996323,False,False,False
f_atr_ratio,4,2469,2534,0.04937857962044942,0.008480938074404464,0.04089764154604496,0.9720794135739156,0.33105845459857475,train,-0.16780235462861623,-1.0723298743080232,False,False,False
f_atr_ratio,48,472,450,0.3867356145969535,0.06184997981336424,0.32488563478358923,0.9682183719721872,0.3331917046827799,train,-0.5273201395493792,-0.4745665345236469,False,False,False
f_spread_stress,4,3035,3472,0.021097662115482828,-0.011109321148775721,0.03220698326425855,0.9152578315675879,0.36009122885498884,train,0.1136026750292177,0.9013981243859344,True,False,False
f_close_loc,4,5649,5662,0.004707235824945047,0.029905056980996457,-0.02519782115605141,-0.8931813965142508,0.3717790553856576,train,0.01566375118373784,0.23536569831021933,False,False,False
f_efficiency,4,5571,5617,0.00914363891435189,-0.015630412912739367,0.024774051827091255,0.8728463448389725,0.3827655729810271,train,-0.07340718545178077,-1.0699516372790545,False,False,False
f_vol_shift,48,462,478,0.3736231529741247,0.08611462403418851,0.28750852893993617,0.8672324622233535,0.38606989472387165,train,0.27318410955625927,0.2516970912235927,True,False,False
f_range_z,48,745,712,0.045887020780736976,0.29674248009580173,-0.25085545931506475,-0.7873162780993114,0.43122569280397854,train,0.10769632173363575,0.17522993799012634,False,False,False
f_wick_skew,16,2218,2228,-0.014688695878032803,0.056557244921046,-0.07124594079907881,-0.7631838300053441,0.4453943544960183,train,-0.1311281703923207,-0.7114565159873852,True,False,False
f_vol_shift,16,888,826,0.059771532446572254,0.16463231700987674,-0.10486078456330448,-0.7589014345215677,0.44803010656141073,train,-0.2791004887495541,-0.6129098973986041,True,False,False
f_spread_stress,16,1156,1320,0.09994665749486566,0.01686457990132999,0.08308207759353567,0.6990787362562486,0.4845694852841651,train,0.1612021023018445,0.4906485624400624,True,False,False
f_rsi,16,1170,1213,0.0068250660534298095,0.10222984783777657,-0.09540478178434676,-0.6809879113689654,0.49594556208569335,train,0.17373473715010723,0.6233794848440343,False,False,False
f_absorption,4,3785,3826,-0.008148437189016361,0.014024203026041555,-0.022172640215057916,-0.6467854279012267,0.5177906645003207,train,-0.03987668088106196,-0.4384267552231111,True,False,False
f_efficiency,16,2235,2248,0.03162244564627183,-0.02423708173336933,0.05585952737964116,0.5808595732758242,0.561364323704811,train,-0.14347115121778295,-0.904089552334725,False,False,False
f_close_loc,16,2252,2249,-0.02575639410587638,0.029337686020368885,-0.05509408012624527,-0.5806289538455868,0.5615197125797515,train,0.0525728633261664,0.325189430443692,False,False,False
f_impulse,48,726,592,0.14793874166674303,-0.01771696963690873,0.16565571130365175,0.5274562048731227,0.5979687770068725,train,-0.2786814293619909,-0.5240053434446507,False,False,False
f_vol_of_vol,16,780,951,0.00907039379536917,0.07908015522275987,-0.0700097614273907,-0.5006530581084909,0.6166844335594542,train,-0.26338580407292894,-0.6231210866274859,True,False,False
f_dir_eff24,4,3015,3733,-0.0050104075124848485,0.013375026335851707,-0.018385433848336557,-0.475073239439944,0.6347512604932244,train,-0.07030312178449201,-0.6690220323060952,True,False,False
f_tick_intensity,48,619,532,0.15589161904748056,0.0020148245132583903,0.15387679453422218,0.4722724743559513,0.636832730194031,train,-0.052114999731926015,-0.07144342248309654,False,False,False
f_ext_ema50,16,979,1005,0.050785278069199094,-0.017788705793950116,0.06857398386314921,0.46239315792877694,0.6438502108662019,train,0.4489828151173331,1.08581639258149,True,False,False
f_dir_eff6,48,802,841,0.16501761407728988,0.03031371861374063,0.13470389546354924,0.4446728268362345,0.6566148773228656,train,0.11232503036265362,0.18712126357910064,True,False,False
