signal_ts,entry_ts,exit_ts,side,tag,entry_px,stop_px,target_px,exit_px,risk_px,qty,pnl,r,reason,hold_min,mfe_r,entry_dt,exit_dt,fold
1672709400000,1672709700000,1672760400000,1,dip_unconfirmed,1828.647,1820.255,2620.255,1828.597,8.391999999999825,11.916110581506445,-0.5958055290747803,-0.005958055290747804,breakeven,845,2.5069709246902465,2023-01-03 01:35:00+00:00,2023-01-03 15:40:00+00:00,2023-01-03 00:00:00+00:00
1672720200000,1672720500000,1672743900000,1,dip_unconfirmed,1841.5400000000002,1833.19,2633.19,1833.14,8.350000000000136,11.976047904191422,-100.59880239520903,-1.0059880239520904,stop,390,0.975508982035895,2023-01-03 04:35:00+00:00,2023-01-03 11:05:00+00:00,2023-01-03 00:00:00+00:00
1672722000000,1672722300000,1672734300000,1,dip_unconfirmed,1840.7735,1832.3765,2632.3765000000003,1840.7235,8.396999999999935,11.9090151244493,-0.5954507562219234,-0.005954507562219234,breakeven,200,1.0613314278909258,2023-01-03 05:05:00+00:00,2023-01-03 08:25:00+00:00,2023-01-03 00:00:00+00:00
1672723800000,1672724100000,1672734600000,1,dip_unconfirmed,1838.6249999999998,1830.2135,2630.2135,1838.5749999999998,8.411499999999705,11.88848600130815,-0.5944243000648669,-0.005944243000648669,breakeven,175,1.3149259941747207,2023-01-03 05:35:00+00:00,2023-01-03 08:30:00+00:00,2023-01-03 00:00:00+00:00
1672736400000,1672736700000,1672759500000,1,dip_unconfirmed,1836.5249999999999,1827.8463650635376,2660.709858709798,1836.475,8.678634936462231,11.522549425355148,-0.5761274712672334,-0.005761274712672334,breakeven,380,1.5054210824226566,2023-01-03 09:05:00+00:00,2023-01-03 15:25:00+00:00,2023-01-03 00:00:00+00:00
1672741800000,1672742100000,1672758900000,1,dip_unconfirmed,1838.405,1829.7411581795157,2663.125340227926,1838.355,8.663841820484322,11.542223654587666,-0.5771111827288584,-0.005771111827288584,breakeven,280,1.290997715765624,2023-01-03 10:35:00+00:00,2023-01-03 15:15:00+00:00,2023-01-03 00:00:00+00:00
1672743600000,1672743900000,1672759800000,1,dip_unconfirmed,1834.905,1826.1480754524075,2665.3405302116453,1834.855,8.756924547592462,11.419534273307512,-0.5709767136648564,-0.005709767136648563,breakeven,265,1.676958608035202,2023-01-03 11:05:00+00:00,2023-01-03 15:30:00+00:00,2023-01-03 00:00:00+00:00
1672745400000,1672745700000,1672759800000,1,dip_unconfirmed,1833.5735,1824.9718557772358,2649.936278053668,1833.5235,8.601644222764207,11.62568427735601,-0.5812842138672718,-0.005812842138672718,breakeven,235,1.8620277222827195,2023-01-03 11:35:00+00:00,2023-01-03 15:30:00+00:00,2023-01-03 00:00:00+00:00
1672761600000,1672761900000,1672927200000,1,dip_unconfirmed,1833.6699999999998,1822.8230030764162,2872.522695434801,1833.62,10.846996923583674,9.219141547148295,-0.46095707735699554,-0.004609570773569955,breakeven,2755,2.8772940768650073,2023-01-03 16:05:00+00:00,2023-01-05 14:00:00+00:00,2023-01-03 00:00:00+00:00
1672763400000,1672763700000,1672820700000,1,dip_unconfirmed,1830.417,1819.4542171423864,2879.0325029037444,1863.3053485728406,10.962782857613547,9.121771478904279,300.0,3.0,target,950,2.9593763209009136,2023-01-03 16:35:00+00:00,2023-01-04 08:25:00+00:00,2023-01-03 00:00:00+00:00
1672774200000,1672774500000,1672926900000,1,dip_unconfirmed,1837.5555000000002,1828.1069580250132,2735.411155523708,1837.5055000000002,9.448541974986938,10.583643515023729,-0.5291821757507051,-0.005291821757507051,breakeven,2540,2.891927672262653,2023-01-03 19:35:00+00:00,2023-01-05 13:55:00+00:00,2023-01-03 00:00:00+00:00
1672779600000,1672779900000,1672820700000,1,dip_unconfirmed,1838.4585,1830.1027273254203,2646.1799947833824,1863.5258180237388,8.355772674579612,11.96777412389706,300.0,3.0,target,680,2.920316402842734,2023-01-03 21:05:00+00:00,2023-01-04 08:25:00+00:00,2023-01-03 00:00:00+00:00
1672788600000,1672788900000,1672820700000,1,dip_unconfirmed,1838.5370000000003,1830.1785,2630.1785,1863.612500000001,8.358500000000276,11.963869115271484,300.0,3.0,target,530,2.9099718849074394,2023-01-03 23:35:00+00:00,2023-01-04 08:25:00+00:00,2023-01-03 00:00:00+00:00
1672828200000,1672828500000,1672845300000,1,dip_unconfirmed,1858.415,1850.0749999999998,2650.075,1850.0249999999999,8.340000000000146,11.990407673860702,-100.5995203836925,-1.0059952038369249,stop,280,0.5043764988009783,2023-01-04 10:35:00+00:00,2023-01-04 15:15:00+00:00,2023-01-03 00:00:00+00:00
1672835400000,1672835700000,1672859100000,1,dip_unconfirmed,1855.6135,1847.239,2647.239,1847.189,8.374499999999898,11.941011403666035,-100.59705057018276,-1.0059705057018276,stop,390,0.8095408681115506,2023-01-04 12:35:00+00:00,2023-01-04 19:05:00+00:00,2023-01-03 00:00:00+00:00
1672837200000,1672837500000,1672906200000,1,dip_unconfirmed,1854.04,1845.67,2645.67,1845.6200000000001,8.36999999999989,11.947431302270168,-100.59737156511297,-1.0059737156511297,stop,1145,0.997968936678635,2023-01-04 13:05:00+00:00,2023-01-05 08:10:00+00:00,2023-01-03 00:00:00+00:00
1672846200000,1672846500000,1672859100000,1,dip_unconfirmed,1856.7859999999998,1848.0851691624773,2687.218252914735,1848.0351691624774,8.700830837522517,11.493155293716077,-100.57465776468528,-1.0057465776468528,stop,210,0.3846759076807009,2023-01-04 15:35:00+00:00,2023-01-04 19:05:00+00:00,2023-01-03 00:00:00+00:00
1672891200000,1672891500000,1672906200000,1,dip_unconfirmed,1853.7920000000001,1845.385,2645.385,1845.335,8.407000000000153,11.894849530153227,-100.59474247650712,-1.0059474247650713,stop,245,0.1938265730938477,2023-01-05 04:05:00+00:00,2023-01-05 08:10:00+00:00,2023-01-03 00:00:00+00:00
1672893000000,1672893300000,1672908600000,1,dip_unconfirmed,1852.0505000000003,1843.6885000000002,2643.6885,1843.6385000000002,8.36200000000008,11.958861516383525,-100.59794307581862,-1.0059794307581862,stop,255,0.4031332217172728,2023-01-05 04:35:00+00:00,2023-01-05 08:50:00+00:00,2023-01-03 00:00:00+00:00
1672907400000,1672907700000,1672926600000,1,dip_unconfirmed,1848.3005,1839.9785000000002,2639.9785,1839.9285000000002,8.321999999999889,12.01634222542674,-100.60081711127079,-1.0060081711127078,stop,315,0.3131458783946202,2023-01-05 08:35:00+00:00,2023-01-05 13:50:00+00:00,2023-01-03 00:00:00+00:00
1672909200000,1672909500000,1672926900000,1,dip_unconfirmed,1846.8455,1838.4835,2638.4835000000003,1838.4335,8.361999999999853,11.958861516383852,-100.59794307581866,-1.0059794307581866,stop,290,0.485649366180366,2023-01-05 09:05:00+00:00,2023-01-05 13:55:00+00:00,2023-01-03 00:00:00+00:00
1673017200000,1673017500000,1673219100000,1,dip_unconfirmed,1844.1829999999998,1834.498936330668,2756.755303263885,1865.8260000000002,9.684063669331863,10.326243549666723,223.49088914544188,2.2349088914544186,timeout,3360,2.6256539473737948,2023-01-06 15:05:00+00:00,2023-01-08 23:05:00+00:00,2023-01-03 00:00:00+00:00
1673038800000,1673039100000,1673219100000,1,dip_unconfirmed,1867.3384999999998,1858.4448170273363,2701.963114293728,1865.8260000000002,8.893682972663555,11.243935758376955,-17.006452834540543,-0.17006452834540542,timeout,3000,0.0,2023-01-06 21:05:00+00:00,2023-01-08 23:05:00+00:00,2023-01-03 00:00:00+00:00
1673040600000,1673040900000,1673219100000,1,dip_unconfirmed,1866.614,1858.0978300968122,2663.3148204156064,1865.8260000000002,8.516169903187802,11.742367888006516,-9.252985895746592,-0.09252985895746592,timeout,2970,0.0,2023-01-06 21:35:00+00:00,2023-01-08 23:05:00+00:00,2023-01-03 00:00:00+00:00
1673042400000,1673219100000,1673310300000,1,dip_unconfirmed,1868.5240000000001,1857.925,2657.925,1868.4740000000002,10.59900000000016,9.434852344560666,-0.47174261722760424,-0.004717426172276043,breakeven,1520,1.2057741296348505,2023-01-08 23:05:00+00:00,2023-01-10 00:25:00+00:00,2023-01-03 00:00:00+00:00
1673236800000,1673237100000,1673285400000,1,dip_unconfirmed,1877.585,1869.2649999999999,2669.265,1869.215,8.320000000000164,12.019230769230532,-100.60096153846098,-1.0060096153846099,stop,805,0.44699519230768964,2023-01-09 04:05:00+00:00,2023-01-09 17:30:00+00:00,2023-01-03 00:00:00+00:00
1673256600000,1673256900000,1673430000000,1,dip_unconfirmed,1872.97,1864.5749999999998,2664.575,1885.382,8.39500000000021,11.91185229303127,147.84991066110453,1.4784991066110453,timeout,2885,1.588385944014274,2023-01-09 09:35:00+00:00,2023-01-11 09:40:00+00:00,2023-01-03 00:00:00+00:00
1673262000000,1673262300000,1673435400000,1,dip_unconfirmed,1872.0200000000002,1863.65,2663.65,1884.6684999999998,8.370000000000118,11.947431302269843,151.11708482675482,1.511170848267548,timeout,2885,1.7066308243727333,2023-01-09 11:05:00+00:00,2023-01-11 11:10:00+00:00,2023-01-03 00:00:00+00:00
1673280000000,1673280300000,1673448000000,1,dip_unconfirmed,1875.1464999999998,1866.79,2666.79,1875.0964999999999,8.356499999999869,11.966732483695514,-0.5983366241842315,-0.005983366241842315,breakeven,2795,1.3352480105307882,2023-01-09 16:05:00+00:00,2023-01-11 14:40:00+00:00,2023-01-03 00:00:00+00:00
1673319600000,1673319900000,1673448600000,1,dip_unconfirmed,1873.2549999999999,1864.875,2664.875,1873.205,8.379999999999882,11.933174224343844,-0.5966587112166496,-0.005966587112166496,breakeven,2145,1.5572195704057865,2023-01-10 03:05:00+00:00,2023-01-11 14:50:00+00:00,2023-01-03 00:00:00+00:00
1673348400000,1673348700000,1673440200000,1,dip_unconfirmed,1875.6460000000002,1867.2185,2667.2185,1875.5960000000002,8.427500000000236,11.865915158706283,-0.5932957579347745,-0.005932957579347745,breakeven,1525,1.2647285671907096,2023-01-10 11:05:00+00:00,2023-01-11 12:30:00+00:00,2023-01-03 00:00:00+00:00
1673433000000,1673433300000,1673439600000,1,dip_unconfirmed,1884.6614999999997,1876.295,2676.295,1876.2450000000001,8.366499999999633,11.952429331262104,-100.59762146656257,-1.0059762146656257,stop,105,0.12400645431186064,2023-01-11 10:35:00+00:00,2023-01-11 12:20:00+00:00,2023-01-03 00:00:00+00:00
1673438400000,1673438700000,1673448000000,1,dip_unconfirmed,1883.4335,1875.0749999999998,2675.075,1875.0249999999999,8.358500000000276,11.963869115271484,-100.59819345576304,-1.0059819345576304,stop,155,0.0,2023-01-11 12:05:00+00:00,2023-01-11 14:40:00+00:00,2023-01-03 00:00:00+00:00
1673440200000,1673440500000,1673451600000,1,dip_unconfirmed,1878.4249999999997,1870.0,2670.0,1869.95,8.424999999999727,11.8694362017808,-100.5934718100885,-1.005934718100885,stop,185,0.206528189911014,2023-01-11 12:35:00+00:00,2023-01-11 15:40:00+00:00,2023-01-03 00:00:00+00:00
1673442000000,1673442300000,1673451600000,1,dip_unconfirmed,1877.6519999999998,1869.2335,2669.2335000000003,1869.1835,8.418499999999767,11.87860070083777,-100.59393003504135,-1.0059393003504136,stop,155,0.29850923561207066,2023-01-11 13:05:00+00:00,2023-01-11 15:40:00+00:00,2023-01-03 00:00:00+00:00
1673505000000,1673505300000,1673530500000,1,dip_unconfirmed,1883.9815000000003,1875.55,2675.55,1875.5,8.43150000000037,11.860285832888053,-100.59301429164385,-1.0059301429164385,stop,420,0.7963588922492196,2023-01-12 06:35:00+00:00,2023-01-12 13:35:00+00:00,2023-01-03 00:00:00+00:00
1673506800000,1673507100000,1673530500000,1,dip_unconfirmed,1883.6399999999999,1875.211,2675.2110000000002,1875.161,8.42899999999986,11.86380353541365,-100.59319017677014,-1.0059319017677013,stop,390,0.8371099774587919,2023-01-12 07:05:00+00:00,2023-01-12 13:35:00+00:00,2023-01-03 00:00:00+00:00
1673508600000,1673508900000,1673535300000,1,dip_unconfirmed,1881.3315,1872.9965,2672.9965,1881.2815,8.335000000000036,11.997600479903967,-0.5998800239946528,-0.005998800239946528,breakeven,440,2.3969406118776067,2023-01-12 07:35:00+00:00,2023-01-12 14:55:00+00:00,2023-01-03 00:00:00+00:00
1673530200000,1673530500000,1673530500000,1,dip_unconfirmed,1887.854,1879.3195,2679.3195,1879.2695,8.53449999999998,11.71714804616559,-100.58585740230774,-1.0058585740230774,stop,0,0.0,2023-01-12 13:35:00+00:00,2023-01-12 13:35:00+00:00,2023-01-03 00:00:00+00:00
1673535600000,1673535900000,1673633400000,1,dip_unconfirmed,1882.8065000000001,1871.19627340984,2999.5689324258447,1917.6371797704808,11.61022659016021,8.613096327056274,300.0,3.0,target,1625,2.9931801700969487,2023-01-12 15:05:00+00:00,2023-01-13 18:10:00+00:00,2023-01-03 00:00:00+00:00
