Time	Open	High	Low	Close	Volume
2016-09-12 04:00:00	1327.0000	1329.3000	1319.9000	1321.0000	177
2016-09-13 04:00:00	1324.6000	1324.6000	1315.0000	1319.0000	79
2016-09-14 04:00:00	1319.2000	1322.3000	1319.2000	1321.5000	73
2016-09-15 04:00:00	1320.7000	1320.7000	1310.8000	1313.5000	37
2016-09-16 04:00:00	1312.2000	1312.6000	1305.8000	1305.8000	4
2016-09-19 04:00:00	1313.5000	1313.5000	1313.5000	1313.5000	20
2016-09-20 04:00:00	1313.7000	1313.7000	1313.7000	1313.7000	97
2016-09-21 04:00:00	1326.3000	1326.9000	1324.0000	1326.9000	76
2016-09-22 04:00:00	1338.6000	1340.4000	1338.2000	1340.4000	23
2016-09-23 04:00:00	1337.2000	1337.2000	1337.2000	1337.2000	40
2016-09-26 04:00:00	1335.2000	1341.8000	1335.2000	1339.7000	24
2016-09-27 04:00:00	1328.0000	1328.7000	1325.9000	1325.9000	48
2016-09-28 04:00:00	1319.4000	1319.4000	1319.4000	1319.4000	10551
2016-09-29 04:00:00	1321.2000	1325.0000	1314.7000	1321.7000	6108
2016-09-30 04:00:00	1320.6000	1327.7000	1312.9000	1313.3000	868
2016-10-03 04:00:00	1313.5000	1316.8000	1308.2000	1309.0000	299
2016-10-04 04:00:00	1307.6000	1310.2000	1266.3000	1266.3000	1893
2016-10-05 04:00:00	1272.1000	1274.0000	1261.3000	1265.2000	246
2016-10-06 04:00:00	1265.3000	1265.3000	1249.8000	1249.8000	114
2016-10-07 04:00:00	1253.9000	1263.6000	1248.9000	1248.9000	169
2016-10-11 04:00:00	1258.9000	1258.9000	1253.0000	1253.0000	26
2016-10-12 04:00:00	1251.7000	1254.0000	1251.1000	1251.1000	127
2016-10-13 04:00:00	1258.7000	1259.0000	1255.0000	1255.0000	315
2016-10-14 04:00:00	1253.9000	1253.9000	1250.6000	1253.1000	311
2016-10-17 04:00:00	1249.9000	1255.0000	1249.9000	1254.4000	41
2016-10-18 04:00:00	1260.9000	1261.7000	1260.8000	1260.8000	11
2016-10-19 04:00:00	1262.9000	1271.5000	1262.9000	1267.9000	219
2016-10-20 04:00:00	1270.0000	1270.5000	1265.5000	1265.6000	415
2016-10-21 04:00:00	1265.9000	1265.9000	1265.9000	1265.9000	224
2016-10-24 04:00:00	1269.2000	1269.2000	1261.8000	1262.0000	42
2016-10-25 04:00:00	1264.1000	1274.1000	1264.1000	1271.9000	61
2016-10-26 04:00:00	1274.0000	1274.0000	1264.8000	1264.8000	279
2016-10-27 04:00:00	1269.4000	1269.4000	1267.9000	1267.9000	338
2016-10-28 04:00:00	1270.3000	1281.5000	1262.0000	1275.5000	560
2016-10-31 04:00:00	1276.6000	1276.6000	1271.5000	1271.5000	58
2016-11-01 04:00:00	1279.3000	1290.7000	1279.0000	1286.4000	49
2016-11-02 04:00:00	1288.3000	1307.0000	1288.3000	1306.8000	30
2016-11-03 04:00:00	1296.4000	1303.1000	1287.3000	1302.1000	73
2016-11-04 04:00:00	1300.0000	1303.3000	1296.7000	1303.3000	11
2016-11-07 05:00:00	1292.0000	1294.5000	1278.3000	1278.3000	34
2016-11-08 05:00:00	1284.1000	1289.4000	1273.2000	1273.4000	50
2016-11-09 05:00:00	1272.2000	1318.6000	1270.0000	1272.6000	108
2016-11-10 05:00:00	1274.4000	1287.5000	1253.3000	1265.5000	63
2016-11-14 05:00:00	1227.8000	1229.5000	1210.4000	1221.2000	216
2016-11-15 05:00:00	1224.3000	1226.0000	1222.5000	1224.0000	20
2016-11-16 05:00:00	1229.3000	1229.3000	1223.0000	1223.4000	66
2016-11-17 05:00:00	1224.6000	1225.0000	1211.0000	1216.5000	1139
2016-11-18 05:00:00	1211.9000	1211.9000	1207.2000	1208.5000	607
2016-11-21 05:00:00	1209.6000	1209.6000	1209.6000	1209.6000	19
2016-11-22 05:00:00	1210.4000	1211.1000	1207.6000	1211.0000	19
2016-11-23 05:00:00	1212.8000	1213.8000	1186.8000	1189.1000	309
2016-11-25 05:00:00	1177.0000	1189.3000	1177.0000	1178.2000	14
2016-11-28 05:00:00	1188.0000	1190.6000	1188.0000	1190.6000	189914
2016-11-29 05:00:00	1193.2000	1194.8000	1179.4000	1187.9000	42124
2016-11-30 05:00:00	1187.1000	1193.3000	1167.9000	1170.8000	7158
2016-12-01 05:00:00	1172.7000	1174.6000	1160.0000	1166.9000	1588
2016-12-02 05:00:00	1172.3000	1177.3000	1166.4000	1175.1000	1521
2016-12-05 05:00:00	1181.8000	1186.7000	1157.0000	1174.0000	358
2016-12-06 05:00:00	1170.9000	1174.5000	1167.1000	1167.6000	652
2016-12-07 05:00:00	1167.7000	1178.5000	1166.4000	1175.0000	182
2016-12-08 05:00:00	1173.8000	1177.8000	1169.1000	1169.8000	322
