Time	Open	High	Low	Close	Volume
2024-09-12 04:00:00	2543.8000	2550.0000	2542.2000	2543.8000	11677
2024-09-12 08:00:00	2543.8000	2549.0000	2540.8999	2547.3999	27415
2024-09-12 12:00:00	2547.6001	2583.6001	2546.5000	2581.7000	127938
2024-09-12 16:00:00	2581.8000	2587.7000	2573.3999	2586.2000	42038
2024-09-12 20:00:00	2586.2000	2588.5000	2585.0000	2586.8000	5523
2024-09-13 00:00:00	2586.8000	2598.3000	2585.1001	2595.8000	18168
2024-09-13 04:00:00	2596.1001	2599.2000	2591.3999	2597.7000	20321
2024-09-13 08:00:00	2597.8000	2601.0000	2591.3999	2595.0000	23997
2024-09-13 12:00:00	2595.2000	2611.7000	2593.8000	2610.3000	64620
2024-09-13 16:00:00	2610.3999	2614.3999	2606.8000	2611.0000	29096
2024-09-13 20:00:00	2610.8000	2611.2000	2605.7000	2606.2000	3150
2024-09-15 20:00:00	2608.0000	2608.7000	2605.5000	2607.0000	4651
2024-09-16 00:00:00	2606.8999	2616.6001	2606.8000	2614.2000	9480
2024-09-16 04:00:00	2614.2000	2617.3999	2607.2000	2609.8000	17396
2024-09-16 08:00:00	2609.8999	2616.2000	2602.5000	2610.5000	23916
2024-09-16 12:00:00	2610.6001	2616.8000	2603.7000	2607.3999	46074
2024-09-16 16:00:00	2607.5000	2611.7000	2607.1001	2609.8999	15145
2024-09-16 20:00:00	2609.8999	2611.0000	2609.2000	2610.8000	2297
2024-09-17 00:00:00	2610.7000	2613.3999	2604.1001	2604.2000	11649
2024-09-17 04:00:00	2604.3999	2613.7000	2601.2000	2610.7000	16453
2024-09-17 08:00:00	2610.7000	2611.0000	2596.8999	2606.8999	33211
2024-09-17 12:00:00	2607.1001	2609.5000	2588.3999	2592.3999	62349
2024-09-17 16:00:00	2590.3999	2598.3999	2587.3000	2595.3999	25800
2024-09-17 20:00:00	2595.3999	2600.6001	2594.8999	2600.3000	3184
2024-09-18 00:00:00	2600.2000	2602.8999	2596.3999	2602.0000	12870
2024-09-18 04:00:00	2602.2000	2602.8000	2591.8999	2597.8000	15377
2024-09-18 08:00:00	2597.8999	2607.3000	2594.3000	2604.0000	20636
2024-09-18 12:00:00	2604.1001	2605.3999	2594.5000	2596.5000	33909
2024-09-18 16:00:00	2597.1001	2627.2000	2572.5000	2575.0000	134492
2024-09-18 20:00:00	2574.8000	2586.7000	2574.2000	2584.1001	9223
2024-09-19 00:00:00	2584.2000	2591.2000	2575.3000	2588.8999	21376
2024-09-19 04:00:00	2588.8000	2610.0000	2584.0000	2609.8000	32514
2024-09-19 08:00:00	2609.8999	2620.5000	2606.3999	2614.7000	35607
2024-09-19 12:00:00	2614.6001	2616.5000	2594.3000	2614.6001	73601
2024-09-19 16:00:00	2614.8000	2618.2000	2610.8000	2613.3000	26268
2024-09-19 20:00:00	2613.8999	2614.6001	2610.8999	2611.8000	3535
2024-09-20 00:00:00	2611.8000	2618.7000	2608.7000	2616.8999	12703
2024-09-20 04:00:00	2616.5000	2635.1001	2616.5000	2632.3000	30922
2024-09-20 08:00:00	2632.3000	2640.7000	2627.3999	2639.1001	29678
2024-09-20 12:00:00	2639.0000	2648.6001	2627.5000	2648.3000	85258
2024-09-20 16:00:00	2648.3000	2651.0000	2642.8999	2646.1001	34821
2024-09-20 20:00:00	2646.1001	2647.7000	2644.0000	2647.1001	2659
2024-09-22 20:00:00	2646.2000	2647.8000	2643.1001	2644.8000	2498
2024-09-23 00:00:00	2644.6001	2655.8999	2640.7000	2653.0000	17226
2024-09-23 04:00:00	2653.1001	2656.1001	2638.6001	2640.0000	21509
2024-09-23 08:00:00	2639.8999	2650.5000	2639.5000	2649.0000	24387
2024-09-23 12:00:00	2648.8999	2659.8000	2644.5000	2654.1001	66240
2024-09-23 16:00:00	2654.0000	2655.7000	2650.3999	2651.0000	26642
2024-09-23 20:00:00	2651.1001	2653.8000	2650.5000	2651.1001	2368
2024-09-24 00:00:00	2651.0000	2660.8999	2648.5000	2659.1001	15247
2024-09-24 04:00:00	2658.8000	2664.6001	2647.1001	2653.6001	32196
2024-09-24 08:00:00	2653.5000	2661.0000	2647.8999	2651.1001	29114
2024-09-24 12:00:00	2651.1001	2673.7000	2648.0000	2667.8000	75455
2024-09-24 16:00:00	2667.8999	2689.3999	2667.1001	2687.7000	48064
2024-09-24 20:00:00	2687.7000	2688.8000	2681.3000	2682.8999	7058
2024-09-25 00:00:00	2682.8999	2694.8999	2679.8000	2685.5000	22985
2024-09-25 04:00:00	2685.8999	2686.2000	2674.2000	2681.1001	22321
2024-09-25 08:00:00	2681.2000	2682.8999	2677.0000	2681.7000	19504
2024-09-25 12:00:00	2681.5000	2691.8999	2678.0000	2682.1001	67384
2024-09-25 16:00:00	2682.2000	2687.3000	2673.3999	2683.8000	43259
2024-09-25 20:00:00	2683.8999	2684.3000	2679.6001	2679.8000	4845
