time,open,high,low,close,volume
1676578500,1842.048000,1842.185000,1840.065000,1840.265000,3.0000
1676578680,1839.827000,1840.815000,1839.657000,1839.895000,3.0000
1676578860,1839.915000,1840.315000,1839.465000,1839.615000,3.0000
1676579040,1839.595000,1839.735000,1838.958000,1839.555000,3.0000
1676579220,1839.565000,1839.595000,1838.345000,1838.585000,3.0000
1676579400,1838.585000,1838.695000,1837.775000,1838.235000,3.0000
1676579580,1838.235000,1838.295000,1836.685000,1837.965000,3.0000
1676579760,1837.955000,1838.945000,1837.765000,1838.865000,3.0000
1676579940,1838.855000,1838.865000,1837.655000,1837.715000,3.0000
1676580120,1837.735000,1838.975000,1837.735000,1838.865000,3.0000
1676580300,1838.865000,1839.235000,1837.575000,1837.715000,3.0000
1676580480,1837.705000,1837.995000,1836.895000,1837.145000,3.0000
1676580660,1837.135000,1838.285000,1837.135000,1837.575000,3.0000
1676580840,1837.598000,1837.765000,1836.705000,1836.775000,3.0000
1676581020,1836.795000,1837.505000,1835.755000,1836.425000,3.0000
1676581200,1836.425000,1838.005000,1836.315000,1837.485000,3.0000
1676581380,1837.505000,1838.065000,1836.925000,1838.055000,3.0000
1676581560,1838.075000,1838.105000,1837.445000,1837.625000,3.0000
1676581740,1837.648000,1838.025000,1837.445000,1837.825000,3.0000
1676581920,1837.825000,1838.935000,1837.805000,1838.925000,3.0000
1676582100,1838.915000,1838.915000,1838.175000,1838.205000,3.0000
1676582280,1838.225000,1838.225000,1837.278000,1837.348000,3.0000
1676582460,1837.368000,1837.368000,1836.478000,1836.568000,3.0000
1676582640,1836.508000,1836.808000,1836.378000,1836.378000,3.0000
1676582820,1836.378000,1836.828000,1836.348000,1836.678000,3.0000
1676583000,1836.678000,1836.708000,1836.098000,1836.248000,3.0000
1676583180,1836.227000,1836.648000,1836.227000,1836.448000,3.0000
1676583360,1836.548000,1836.548000,1835.998000,1836.198000,3.0000
1676583540,1836.198000,1836.325000,1835.848000,1836.275000,3.0000
1676583720,1836.275000,1836.405000,1836.255000,1836.305000,3.0000
1676583900,1836.305000,1836.965000,1836.255000,1836.825000,3.0000
1676584080,1836.825000,1837.415000,1836.825000,1837.205000,3.0000
1676584260,1837.198000,1837.505000,1837.105000,1837.305000,3.0000
1676584440,1837.248000,1837.248000,1835.958000,1836.398000,3.0000
1676584620,1836.397000,1836.448000,1835.065000,1835.065000,3.0000
1676588400,1836.258000,1836.747000,1835.407000,1835.548000,3.0000
1676588580,1835.548000,1835.648000,1834.897000,1835.448000,3.0000
1676588760,1835.448000,1835.848000,1835.348000,1835.448000,3.0000
1676588940,1835.448000,1835.765000,1834.915000,1835.165000,3.0000
1676589120,1835.145000,1835.815000,1834.885000,1835.045000,3.0000
1676589300,1835.058000,1835.285000,1834.678000,1835.028000,3.0000
1676589480,1835.028000,1835.125000,1834.595000,1834.835000,3.0000
1676589660,1834.928000,1835.275000,1834.745000,1834.975000,3.0000
1676589840,1834.935000,1834.975000,1834.425000,1834.785000,3.0000
