Time	Open	High	Low	Close	Volume
2016-09-12 04:00:00	1041.3000	1041.3000	1041.3000	1041.3000	0
2016-09-13 04:00:00	1034.4000	1034.4000	1034.4000	1034.4000	0
2016-09-14 04:00:00	1039.3000	1039.3000	1039.3000	1039.3000	0
2016-09-15 04:00:00	1032.2000	1032.2000	1032.2000	1032.2000	0
2016-09-16 04:00:00	1016.0000	1016.0000	1016.0000	1016.0000	0
2016-09-19 04:00:00	1022.1000	1022.1000	1022.1000	1022.1000	0
2016-09-20 04:00:00	1030.5000	1030.5000	1030.5000	1030.5000	1
2016-09-21 04:00:00	1047.5000	1047.5000	1047.5000	1047.5000	0
2016-09-22 04:00:00	1062.4000	1062.4000	1062.4000	1062.4000	0
2016-09-23 04:00:00	1062.4000	1062.4000	1056.6000	1056.6000	0
2016-09-26 04:00:00	1042.5000	1042.5000	1042.5000	1042.5000	0
2016-09-27 04:00:00	1024.8000	1024.8000	1024.8000	1024.8000	0
2016-09-28 04:00:00	1021.9000	1021.9000	1021.9000	1021.9000	12487
2016-09-29 04:00:00	1030.4000	1041.7000	1020.0000	1030.8000	3746
2016-09-30 04:00:00	1026.0000	1040.0000	1025.0000	1028.6000	570
2016-10-03 04:00:00	1024.5000	1024.5000	1003.7000	1003.7000	76
2016-10-04 04:00:00	1005.8000	1005.8000	984.0000	984.7000	118
2016-10-05 04:00:00	992.5000	992.5000	970.4000	972.3000	184
2016-10-06 04:00:00	980.5000	980.5000	960.4000	962.3000	62
2016-10-07 04:00:00	966.3000	970.9000	958.8000	958.8000	100
2016-10-11 04:00:00	964.0000	965.1000	945.8000	945.8000	25
2016-10-12 04:00:00	949.0000	950.3000	938.4000	938.4000	146
2016-10-13 04:00:00	940.5000	941.2000	928.9000	928.9000	28
2016-10-14 04:00:00	936.2000	936.2000	932.1000	935.9000	10
2016-10-17 04:00:00	932.7000	932.7000	932.7000	932.7000	5
2016-10-18 04:00:00	943.7000	950.5000	943.0000	943.0000	5
2016-10-19 04:00:00	941.0000	942.3000	940.1000	940.1000	7
2016-10-20 04:00:00	943.3000	943.3000	930.5000	931.2000	52
2016-10-21 04:00:00	926.0000	931.3000	926.0000	928.6000	22
2016-10-24 04:00:00	944.4000	944.8000	932.7000	935.4000	6
