Time	Open	High	Low	Close	Volume
2015-09-03 15:00:00	1.52278	1.52309	1.52189	1.52305	2506
2015-09-03 15:15:00	1.52305	1.5236	1.52277	1.52349	1878
2015-09-03 15:30:00	1.52348	1.52352	1.52298	1.52334	1247
2015-09-03 15:45:00	1.52333	1.52502	1.52329	1.52502	1452
2015-09-03 16:00:00	1.52502	1.52531	1.52475	1.52522	944
2015-09-03 16:15:00	1.52521	1.52523	1.52401	1.52449	899
2015-09-03 16:30:00	1.52448	1.52481	1.52418	1.52462	1247
2015-09-03 16:45:00	1.52463	1.52555	1.52458	1.52555	1137
2015-09-03 17:00:00	1.52552	1.52639	1.52525	1.52639	1322
2015-09-03 17:15:00	1.52638	1.52671	1.52621	1.52661	961
2015-09-03 17:30:00	1.52661	1.52692	1.52647	1.52681	728
2015-09-03 17:45:00	1.52681	1.52681	1.52627	1.52627	900
2015-09-03 18:00:00	1.52627	1.52627	1.52548	1.5258	968
2015-09-03 18:15:00	1.52581	1.526	1.52568	1.52578	614
2015-09-03 18:30:00	1.52577	1.52604	1.52553	1.52555	775
2015-09-03 18:45:00	1.52554	1.52611	1.52541	1.52553	673
2015-09-03 19:00:00	1.52554	1.52622	1.52545	1.52606	783
2015-09-03 19:15:00	1.5261	1.52618	1.52577	1.52597	750
2015-09-03 19:30:00	1.52598	1.52613	1.52556	1.5256	848
2015-09-03 19:45:00	1.52559	1.5258	1.52531	1.52531	997
2015-09-03 20:00:00	1.5253	1.52592	1.5253	1.52539	516
2015-09-03 20:15:00	1.52536	1.52549	1.52532	1.52538	191
2015-09-03 20:30:00	1.52539	1.5256	1.52523	1.52537	609
2015-09-03 20:45:00	1.52534	1.52578	1.52527	1.52555	714
2015-09-03 21:00:00	1.52568	1.52585	1.5253	1.52538	332
2015-09-03 21:15:00	1.52537	1.52568	1.5251	1.52554	411
2015-09-03 21:30:00	1.52554	1.52575	1.52528	1.52529	481
2015-09-03 21:45:00	1.52529	1.52543	1.52493	1.52505	718
2015-09-03 22:00:00	1.52507	1.52543	1.52492	1.52513	539
2015-09-03 22:15:00	1.52512	1.52542	1.52509	1.52521	475
2015-09-03 22:30:00	1.52521	1.52527	1.52502	1.52507	500
2015-09-03 22:45:00	1.5251	1.52545	1.52504	1.52545	460
2015-09-03 23:00:00	1.52545	1.5257	1.52514	1.52568	468
2015-09-03 23:15:00	1.5257	1.52578	1.52543	1.52552	343
2015-09-03 23:30:00	1.52552	1.52585	1.52551	1.52567	662
2015-09-03 23:45:00	1.52563	1.52591	1.52558	1.52577	553
2015-09-04 00:00:00	1.52575	1.52578	1.52498	1.52501	1123
2015-09-04 00:15:00	1.52506	1.52506	1.52468	1.52488	981
2015-09-04 00:30:00	1.52489	1.52537	1.52487	1.52534	783
2015-09-04 00:45:00	1.52534	1.52535	1.52469	1.52503	916
2015-09-04 01:00:00	1.52504	1.52509	1.52465	1.52476	783
2015-09-04 01:15:00	1.52477	1.52534	1.52477	1.52505	1094
2015-09-04 01:30:00	1.52504	1.52519	1.52487	1.52498	727
2015-09-04 01:45:00	1.52498	1.52506	1.52487	1.52488	478
2015-09-04 02:00:00	1.52489	1.5249	1.52436	1.52453	602
2015-09-04 02:15:00	1.52457	1.52471	1.52419	1.52428	922
2015-09-04 02:30:00	1.52427	1.52458	1.52427	1.52441	959
2015-09-04 02:45:00	1.52441	1.52443	1.5236	1.52398	791
2015-09-04 03:00:00	1.52398	1.52429	1.52374	1.5242	635
2015-09-04 03:15:00	1.5242	1.52444	1.52409	1.52412	926
2015-09-04 03:30:00	1.52412	1.52413	1.52361	1.52364	932
2015-09-04 03:45:00	1.52363	1.52366	1.52302	1.52315	696
2015-09-04 04:00:00	1.52314	1.52361	1.52264	1.52313	851
2015-09-04 04:15:00	1.52313	1.5233	1.5228	1.52319	1362
2015-09-04 04:30:00	1.52319	1.52327	1.52269	1.5232	1335
2015-09-04 04:45:00	1.5232	1.5233	1.52299	1.52324	810
2015-09-04 05:00:00	1.52326	1.52351	1.52303	1.5235	1303
2015-09-04 05:15:00	1.52352	1.52374	1.5232	1.5237	1107
2015-09-04 05:30:00	1.52369	1.52441	1.52357	1.52437	943
2015-09-04 05:45:00	1.52436	1.52474	1.52416	1.5243	1025
2015-09-04 06:00:00	1.5243	1.52454	1.5235	1.52452	1235
2015-09-04 06:15:00	1.52453	1.52491	1.52424	1.52463	830
2015-09-04 06:30:00	1.52468	1.52472	1.52379	1.52437	1272
2015-09-04 06:45:00	1.52439	1.52439	1.52297	1.52297	1572
2015-09-04 07:00:00	1.52297	1.52348	1.52134	1.52213	2130
2015-09-04 07:15:00	1.52213	1.52256	1.52137	1.52216	1882
2015-09-04 07:30:00	1.52216	1.52298	1.5219	1.52282	1830
2015-09-04 07:45:00	1.5228	1.52342	1.5225	1.52279	1383
2015-09-04 08:00:00	1.52279	1.52355	1.52256	1.52354	1697
2015-09-04 08:15:00	1.52357	1.52387	1.52274	1.52334	1918
2015-09-04 08:30:00	1.52334	1.52556	1.5233	1.52477	1791
2015-09-04 08:45:00	1.52477	1.52497	1.52378	1.52383	1499
2015-09-04 09:00:00	1.52384	1.52441	1.52349	1.52431	1223
2015-09-04 09:15:00	1.52431	1.52475	1.52423	1.52448	1264
2015-09-04 09:30:00	1.52448	1.52461	1.52384	1.52434	1110
2015-09-04 09:45:00	1.52433	1.52436	1.52309	1.5231	1031
2015-09-04 10:00:00	1.5231	1.52356	1.52299	1.5231	1067
2015-09-04 10:15:00	1.52311	1.52338	1.5222	1.5226	1220
2015-09-04 10:30:00	1.52261	1.52296	1.52173	1.52208	1106
2015-09-04 10:45:00	1.52207	1.52277	1.52179	1.52259	946
2015-09-04 11:00:00	1.52259	1.52287	1.5223	1.52275	1254
2015-09-04 11:15:00	1.52276	1.52281	1.52179	1.52256	889
2015-09-04 11:30:00	1.52256	1.5229	1.52235	1.5228	1051
2015-09-04 11:45:00	1.5228	1.52307	1.5226	1.52299	923
2015-09-04 12:00:00	1.523	1.52301	1.52145	1.52231	1683
2015-09-04 12:15:00	1.52235	1.5245	1.52218	1.52346	2454
2015-09-04 12:30:00	1.52346	1.52737	1.52067	1.52247	5204
2015-09-04 12:45:00	1.52247	1.523	1.51986	1.51989	3858
2015-09-04 13:00:00	1.51988	1.52038	1.519	1.51991	2950
2015-09-04 13:15:00	1.51991	1.52082	1.51986	1.5203	2129
